#node1	node2
O14544	P31785
P62333	Q9Y5K5
Q14197	Q9Y399
P42704	Q9P2S5
P54646	Q8N122
O60716	P08581
P00533	Q07890
Q07820	Q8IVG9
P22694	Q99941
P16333	Q8WX92
P06241	P10301
P00403	P63104
Q13616	Q8NFZ0
P35626	Q8NHC5
A6NIT4	P48357
Q6VMQ6	Q9Y6X2
O15530	P12956
P22612	P54289
P08069	P12034
P08621	Q15428
P15735	Q9H7J1
P20339	Q96AX2
P35527	Q92844
P62136	Q00535
P31785	P48736
O00257	Q05516
P50148	Q99677
O95644	Q04864
P0CG47	Q9NYJ8
P14902	Q96I34
O60840	Q9HAV0
O43660	Q15428
O14530	Q16891
P49116	Q99570
P01111	Q8N431
P61513	Q02543
P10721	Q13322
P40337	Q9UQN3
Q13237	Q16720
P18031	Q03135
P00533	Q6S5L8
P01566	P52333
Q14627	Q9P0W0
Q13315	Q63ZY3
O60934	P49959
P08134	P98171
P08865	P46781
Q93034	Q9HCE7
Q12824	Q13387
Q14315	Q9Y4P8
P12270	P49792
O75970	P56750
Q96A54	Q9Y478
O43586	P37268
P10912	P15018
P22607	Q9Y264
P42677	Q9Y328
Q8NFM4	Q9UBI6
P0CG48	P19438
P41240	P49023
Q13191	Q99062
P12314	Q8N6C8
O00305	Q15172
P16104	Q99877
P61457	Q9GZT8
9757	Q6ZW49
P60953	Q9Y4K3
O60244	O75586
Q8IWE5	Q9H0B6
O95166	Q9H492
P30559	Q5JY77
P55055	Q12873
P01730	P12273
Q13535	Q9UPV0
P42771	Q00987
P10721	Q00987
P36873	P63208
O14775	Q15406
407008	Q12857
Q99816	Q9H4P4
P54257	Q9UN88
P00918	Q9H8Y5
O60359	Q14738
P32121	Q8NGY6
P62736	P63104
P38405	Q8NH70
P38432	Q96HA8
O60341	Q9P0W2
O14964	Q9NRV9
Q6P1J9	Q99459
O00238	P27361
P32246	P35626
Q96JH8	Q9BQY4
P12757	Q13219
O95777	P78347
P18146	Q15154
Q9NVH1	Q9Y2Q3
O14905	Q13467
P10809	Q9NR28
Q8WUA4	Q9UKN8
P34820	Q96NZ8
P33778	Q92769
P16284	Q06124
P00403	P62316
O60732	P49406
P50150	Q15147
Q93100	Q9NZT1
P48061	P51681
P46782	P62979
Q01344	Q13432
O95072	P62714
Q14011	Q99873
P33240	Q9UI14
P07947	P16144
O96013	P36957
P42345	Q9UGI9
P13569	P38646
P19388	Q9NW08
O43318	Q13131
P46777	P62910
P05556	P63244
P46094	Q9Y4X3
O00305	P21246
P31260	Q12778
Q9HC29	Q9Y2Z0
Q15645	Q9NRQ2
P17301	P78509
P53041	P78527
O95139	P03897
P46782	Q9HCK5
Q13315	Q96EP5
P14174	Q7L5N1
P0CG47	Q13155
Q5VTB9	Q96B02
Q9H6Y7	Q9P031
O75533	Q96DI7
P56181	Q92561
P08572	P23229
P43243	Q00005
Q8IZC4	Q9BY11
P46092	P80098
P16104	Q13162
P02775	P46094
P25189	P56693
P17535	Q9HBE5
Q01094	Q96KJ9
Q14164	Q99623
Q8WUM4	Q9Y3C5
P46734	Q02779
O96013	P31946
P35626	Q8NH02
Q9NR55	Q9Y2D1
Q7KZI7	Q92997
O75970	Q8N6F1
P0C0S5	Q93079
Q8N2Q7	Q9HDB5
P12270	Q9Y4K3
P42336	P59768
Q01082	Q9UKG9
P19793	Q9H0E9
P78509	Q13797
Q99871	Q9NVX0
O00221	Q00610
P04908	Q13547
P01111	Q14644
O14867	P17544
P46937	P84022
P55957	Q9NR28
P40938	Q14696
P11215	Q15139
P05388	Q9UKV8
554213	Q15329
P31946	Q7L8J4
O14733	Q13153
P08575	Q07912
P35626	Q8NH70
P40763	Q29980
P15036	P51532
P21359	P34741
