#node1	node2
P19174	P54252
P26038	P32942
P84022	Q14192
P27540	P35318
O75947	P56134
P02458	P06756
Q13573	Q15717
O15550	Q8NEZ4
P34932	Q6P1J9
P17676	P58166
P04626	P35221
P15924	Q9UMD9
P15151	Q495A1
Q13485	Q13501
P45984	Q04206
O96019	P25440
P16035	P61289
P09651	P62995
Q13153	Q9H4E5
O43497	Q12879
O00255	P35244
Q92621	Q9BW27
Q7L5N1	Q8IYL3
P19838	P52926
P22455	P55075
P0CAP2	Q9BQ04
P09326	P29692
P05060	P60484
P62979	Q15038
P24522	Q04724
P18074	P51946
P51610	Q16576
O60241	Q9Y566
P22626	Q01081
P51654	Q9H1J5
Q15388	Q6P1J9
A6NMS3	P38405
Q13748	Q96NA2
P01566	Q13261
