#node1	node2
P42224	Q13287
P27635	P62906
O60674	P01571
P07550	P49407
P28482	Q9BZM1
P0CG47	Q13191
Q04206	Q9H9Z2
406905	Q9Y3Q4
P43631	Q06124
O15264	P30154
P48431	Q5T230
Q09028	Q13330
Q96CA5	Q9NR28
Q5VWQ8	Q99961
O14763	Q13158
P00846	P05496
P04406	Q96A08
P05112	Q15306
P37275	P56545
P48061	P49682
P17612	P54289
P58107	Q00653
P51668	Q9NZS9
A0JLT2	P52434
P27361	Q9NZK7
P53779	Q13432
Q13315	Q9Y383
Q969H8	Q9Y4K3
P09497	Q9NZN4
P08670	Q9BW27
P33076	Q499Z4
P35232	P51532
O75419	P38936
O76013	Q6IBS0
O14561	O15239
P12931	P31273
P47898	Q9P2W3
Q96ES7	Q9NR33
P12755	Q14938
P05019	P22455
P26717	P30443
Q16254	Q9BR39
P51955	Q14203
O95967	P0CG48
P46527	Q92574
P00533	P58107
O14561	P03901
Q15648	Q71SY5
P61224	Q9UNN5
P61981	Q15287
P28482	Q9H8Y8
P20333	Q96CX2
O15143	O15511
P11274	P42229
O60739	P23526
P05129	P57087
P29590	Q9UER7
P13497	Q15113
O14610	Q14831
P31152	P36507
P61244	P84022
P29372	Q9H8S9
O60674	P08700
Q7RTX0	Q7RTX1
P00533	P12956
O14625	P49238
P61966	Q9Y6Q5
P05067	P07437
O60814	Q7L7L0
P02647	Q92484
P16871	P42224
P31151	Q9P286
P62328	Q5UIP0
P54257	Q99595
Q14626	Q969D9
P23508	Q9NTJ3
P18848	Q9NZJ5
O95630	P00533
P25490	Q15796
P51817	P62158
P23368	Q9H4A3
Q14161	Q9Y4F1
P10721	P15498
P49703	Q04724
P05019	P27986
P01106	Q9H3U1
P01589	P07202
O75528	Q9H213
P26951	Q9UHD0
Q8TDX7	Q9HC98
Q13137	Q9BVV2
P49792	Q8N5Z0
P04899	P51685
O14907	Q15560
P61978	Q8IWZ8
P17948	Q92569
P63096	Q9UBS5
P25440	P68133
P62877	Q5XUX0
P01106	Q16587
Q08289	Q15172
O14763	P50591
O14920	Q9NX02
Q13485	Q9HC98
P49841	P67775
P38919	Q13573
Q13137	Q9UKA9
Q13620	Q16531
P18124	P62906
P54253	Q8NBV4
P12956	Q10586
P32121	Q8NGK0
O60684	P13861
P17181	Q9ULV8
Q08211	Q13151
P05000	P17181
P63104	Q13153
P15407	Q16539
P52597	P67809
O14662	O43752
P51617	Q8NI60
Q14164	Q96GD0
P09874	Q9Y478
P20248	Q9NYG5
P29466	Q86W26
Q14164	Q15459
Q15759	Q9BQI3
Q9NS87	Q9P2H0
P16410	P33681
P60568	Q8N6P7
P63096	Q86XP0
P19174	Q8IZP0
Q14197	Q7Z7F7
O43156	P42345
Q13432	Q7L099
P34969	P62873
O43765	Q14164
P46781	P78330
P57082	Q96IP4
P05106	Q86YW0
P48643	Q99426
O43463	P46527
P16118	Q96RG2
P00533	P51451
P23470	Q02763
P61586	Q13153
P00533	P25098
P16104	Q9UL16
Q8WZ74	Q9Y3A3
Q969Q1	Q96RP9
P06899	Q96KK5
O00329	P21802
P27986	Q9Y6Q6
Q8N668	Q9GZQ3
P61927	Q07020
P01106	Q8N1G2
P55060	Q9Y6K9
O95299	Q9UI09
P49736	Q96HA7
P63218	Q08462
O15258	Q16891
P40763	P63000
Q14203	Q96KM6
P08047	P33076
Q15287	Q6P2Q9
P49023	Q15654
O75676	P05114
P06241	P20810
Q15645	Q9H0W9
P06239	P23470
P25963	P34932
P05141	Q14197
O00548	Q99466
A1A4S6	P08134
P06241	P43699
O14786	Q13275
P01889	P33993
P03905	P51970
O00222	P16520
P98170	Q96LR5
P00505	Q9UET6
Q9BSW7	Q9Y3Q8
P26599	Q99504
O14965	Q9Y297
O95059	P43246
P62714	Q96N67
O14905	O75197
P00519	P21860
Q8TD26	Q9H0E2
P17980	Q13573
P68431	Q9BY66
P09651	Q16629
P30050	P32969
P01133	P07333
Q02224	Q9UQE7
Q13363	Q13547
P31751	Q9Y6K9
P48742	Q9UBR4
Q13387	Q9Y4W6
O75376	P54253
Q15365	Q9NR12
P15036	Q99684
Q9BQ87	Q9NYJ8
P05455	P98175
O00555	P63218
O94972	Q13077
P49815	Q9BPZ7
P26599	P38159
Q12789	Q9H8T0
P61981	Q9P0V3
Q13315	Q9H7Z6
P61073	Q99616
O14490	P55157
O76003	Q70Z53
Q16659	Q6UXH1
P11215	P17947
Q16576	Q8NHZ7
P30793	Q96F85
P01236	Q969G2
Q13555	Q86YW0
P51617	Q8NG27
O00327	Q8IUM7
O60271	Q99759
P09914	P51532
A8MTJ3	Q7RTX0
Q08945	Q99879
P50453	Q9UKY1
P04818	Q12906
P59998	Q86XS8
P63000	Q7Z6J0
A0AVK6	Q01094
5512	Q9UD71
P18206	Q9UI47
P25787	Q13177
O15131	Q13573
P54289	Q00005
P40763	Q99062
P49674	Q49AN0
O15530	Q16513
Q13315	Q9HCJ3
Q8NFM7	Q96F46
Q15653	Q9Y5M8
O43281	P12931
Q9P2R6	Q9ULU4
O60504	Q13191
P32927	Q9NSE2
P11309	P52630
O14818	P49721
P30480	P52209
P21333	Q15399
Q13315	Q96K21
Q08945	Q8TD19
P46092	Q9UBD3
Q86YV9	Q96L34
P17612	Q13224
P02647	P02654
P31150	Q86XK2
P31946	P49815
P11142	P19438
P62701	Q00653
P57721	P61086
O43561	P43405
O14920	P53350
O60884	Q9HCK5
P05129	P63215
P49759	Q13247
P06730	P78344
P40145	Q05655
O15116	Q14684
P11912	P40259
P08172	P63096
P16220	Q96HY7
O60258	P11362
Q6R327	Q9BVC4
P45983	P60763
P08581	Q9HAU4
