#node1	node2
P08754	P28482
O15123	P08138
P20823	Q16270
Q13573	Q9NQW6
O60244	P10827
P05000	Q969J5
O00212	Q07960
P01567	P14784
P23508	P37802
P07332	Q16555
P14649	P62736
P08579	Q96DI7
Q8N3U4	Q9UJ98
P02787	Q13315
O15116	P08243
P84103	Q13247
Q13153	Q9H4E5
P15822	Q7Z2E3
P01871	Q9UKI3
P62158	Q13936
P52597	Q8IYB3
P04222	P62158
P54132	Q13156
Q9Y3T9	Q9Y5J5
Q13535	Q16851
P07910	Q00653
P49841	P67809
O00471	Q07890
O43677	O96000
P35268	Q92901
Q16891	Q8NCD3
P20963	P29350
Q15287	Q9NQ29
P49716	P55061
P28482	P40763
P42702	Q9UHD0
P30086	Q9Y4K3
P23508	P49321
O43504	P10275
Q14209	Q15910
Q96EZ8	Q9Y230
P25788	Q5VTD9
Q93079	Q9P0U4
P08311	P55210
P67775	Q13315
P53779	Q99956
Q15796	Q8N684
O43765	Q9UQK1
P05023	Q8WYR1
P18124	P32969
P01889	Q15008
O15265	P58876
P27986	Q6ZUJ8
P18146	P43628
P55957	P99999
O15111	Q16584
Q6UB35	Q9P2S5
O00459	P42345
Q14164	Q3MHD2
P20073	P54252
Q12962	Q92831
P00533	Q99877
P15056	P53779
P84095	P98171
P02452	P17301
P42224	P63244
P19793	P41235
P09493	P19429
P09086	P51948
O75365	Q8WUM4
Q8WZA2	Q9NRZ7
P04150	P07900
145781	Q13574
Q14627	Q969D9
Q9UBE0	Q9UBT2
Q9UNQ2	Q9Y5V3
P49716	Q14739
P10914	Q14145
407011	O94925
O15350	Q96J02
P20132	Q9H2V7
Q13573	Q9UMS4
P11229	P30679
P63000	Q9UIW2
P08631	Q9Y3L3
P03886	Q9Y375
Q8N5R6	Q96KQ7
O75940	Q14684
Q15714	Q8NEZ4
P15498	Q12866
Q08945	Q6DN03
A6NIT4	P31785
406988	P15692
Q9BVM2	Q9Y230
O15264	P35236
P63173	Q07020
Q99549	Q9P0V3
Q13315	Q6VMQ6
Q14566	Q96HA7
Q13077	Q96GX9
P51828	Q9NZT1
O43181	O43920
P63104	Q09666
P63104	Q9BQA1
P29460	Q99650
O00762	O95067
O43663	Q02224
P52756	Q05519
P38405	Q9NZP2
O75530	Q15714
O60244	P16333
P0C1H6	Q92769
O95166	Q9Y4P1
P10827	Q9NPJ6
Q14197	Q9Y2S7
P20248	Q08050
O95405	Q8NBJ7
P05305	P46379
P01243	P28300
P13521	Q9NRR5
P40259	P43403
O00159	P62158
Q9UK45	Q9Y333
O15230	P98095
O60359	Q9Y2T4
P35544	P46782
Q13557	Q9NZT1
P01889	P43307
Q99816	Q9BV68
P31749	Q9UKG1
O15524	O60674
P06858	P29074
P05109	P38936
P06493	Q5MJ70
P43364	Q9Y2X8
P52565	Q15669
