#node1	node2
P62310	P68104
Q9BWT7	Q9Y6K9
P01106	P36954
P09651	P38159
P14210	P22455
O14744	Q8N163
407026	P08123
O95782	Q9Y6I3
O75674	P06396
P35227	P78364
P52565	P55210
O75925	P38398
P68402	Q9Y478
P11464	P18146
P35637	P55795
O60925	Q9BZL6
Q3T906	Q9UJJ9
P33316	P62745
P37275	P56545
P32881	Q14627
P63104	Q8WWI1
P07900	Q13077
P48169	Q9NQX3
Q12933	Q96B97
P05129	P63096
Q15788	Q8IZD9
P28749	P30281
P67775	Q9NPH2
O15198	Q9NQ87
O43318	P53779
Q14240	Q99459
Q8TEY7	Q9NR30
P27348	Q9BZ23
O14727	P62136
P10912	P23511
Q92843	Q96LC9
P62877	Q16665
P00533	Q9UKG1
P13639	P63104
O75676	P18848
Q13547	Q96T58
O95229	Q14457
O14775	Q9HBW0
P10827	P48443
Q04721	Q9UBG7
Q13398	Q9GZM8
P04150	Q05086
P01111	Q16204
Q12933	Q9UI26
O00574	P02776
Q13087	Q9UHX1
P02751	P06756
Q96GG9	Q9HCM9
P0CG47	Q8IYW5
Q5T124	Q8IYR0
P08670	Q07157
O43683	P46108
Q08493	Q09472
P62256	Q9Y508
P54259	Q00978
P84243	Q14781
Q66LE6	Q92736
Q03013	Q96ID5
P12270	Q9BW27
Q86WJ1	Q99459
O95622	P62879
Q13480	Q8WYR1
P42261	Q9UQM7
Q8IUE6	Q9UKV0
Q09472	Q9UBU8
P36897	Q9UNH7
P16402	P83916
P02776	P51684
Q5VT52	Q9NZC7
O14641	Q9H461
Q2I0M4	Q9NRG4
Q495M9	Q9Y6N9
P05783	Q13191
P60763	Q96BY6
Q8N5S9	Q96A54
O60603	P54652
P60953	Q9Y6R4
O14745	P41145
O14950	P61586
P43358	Q86WT6
Q8TDY2	Q9BXW4
O95433	P51816
P31785	P42336
O95169	P03901
P54284	Q04206
P08579	P09661
P36542	Q9UKV8
O60506	Q9H3D4
P24666	P43403
O60936	P25445
Q96AH8	Q9Y6G9
P85299	Q9BQA1
P08581	Q9GZV9
Q13114	Q96DC9
P56537	P62249
Q9UNF1	Q9Y2Q3
P54259	Q9Y4B4
P63261	Q8TDR0
P62753	P62854
O75159	P26951
Q92599	Q99719
O95467	P30559
Q13153	Q969X0
O43609	P22681
P17693	P26715
P35626	Q8NGZ4
Q02363	Q05516
P00519	Q9Y6N7
O60462	P49763
P14921	P50613
O60216	Q9UQE7
Q13444	Q9UKS6
P53355	Q15257
P28482	Q9Y603
P01236	Q13177
P10276	P55345
Q16082	Q9HAW0
P40225	Q01113
Q16539	Q9BQI3
Q08379	Q9P289
P51681	Q8NHW4
P23258	Q99996
P09104	P68366
P26715	Q06124
P61981	Q92574
P04637	Q99988
Q13685	Q9GZQ8
P42766	Q96HU1
Q00978	Q99731
P18621	P62945
Q9UKG1	Q9Y243
P04899	Q8WZA2
P08670	Q06323
P16234	Q96J02
O00716	Q9UQC2
O43741	Q53ET0
O43504	P10275
O95644	Q9Y277
P01100	Q96GM5
P30260	Q9NYD6
Q14164	Q6NZ67
P51965	Q9UBS8
P49406	Q14197
O00217	P03923
P45985	P80192
Q01844	Q8NDC0
P15311	Q01970
Q00325	Q15628
P05186	Q14240
P61586	Q8IZD9
O15496	Q9HD67
O00170	O14965
Q8WYB5	Q8WYH8
P38936	Q5VU43
Q5VVX9	Q9BWF2
O60896	Q8WUM4
Q9H9G7	Q9Y657
P22455	P42338
P06400	P42685
P10914	P19838
P18146	Q9Y5W3
P17612	P46019
P41240	Q8NHL6
P33552	Q13309
Q04206	Q13477
Q92889	Q9BQ83
P13639	P54619
P08134	Q969H4
P13637	Q9UKV8
Q13439	Q9UPN3
Q5JWF2	Q96PN6
P04637	P63165
P26599	Q07955
P42336	P60953
O94973	Q15311
P01024	P48740
P50539	P78536
51639	Q9Y478
O60674	P16871
Q8NBQ5	Q9Y2Q3
P61619	Q9Y478
Q16816	Q9NZT1
O96019	P24522
Q13753	Q16610
O94875	Q13444
P08670	Q16512
Q13315	Q96Q15
O43261	P26641
P16220	Q8IVL1
P12980	Q6ZUT1
P62745	Q07889
P23434	Q13287
P25025	P47992
Q5VVX9	Q86Y01
Q5TCZ1	Q9H204
Q93062	Q9NX55
P00451	Q76LX8
Q6PCD5	Q96B02
Q00005	Q15717
O43542	Q06609
Q13425	Q15303
P17028	Q5T3J3
Q04721	Q96JK9
Q96JB5	Q96QR1
O00303	P30480
P42574	Q14103
P63218	Q9NQ66
P18146	Q02750
P31785	Q9UHD0
O43513	Q9BZE3
O00422	Q16740
Q15834	Q8TAP4
P52952	Q8N2W9
P53779	Q9HAV0
P60709	Q12933
Q9HD36	Q9UMX3
Q13873	Q7Z5Y6
Q8IYD1	Q9H361
P38405	Q8NGA8
P51522	Q13153
P19784	Q16539
O14733	P63000
O14641	Q92837
P12757	Q07954
P04637	P62328
P17509	P21673
P15036	P23771
P46108	Q7L190
P23771	Q06710
P84098	Q9UNX3
P56945	Q05397
P35637	Q15287
Q96A08	Q9BTM1
Q15369	Q9C0D3
Q08289	Q13362
Q96DE5	Q9UJX6
P61981	Q5PRF9
P29322	P48736
Q00722	Q9HAV0
P21580	Q99683
P04049	P14784
P01106	Q86UB9
Q07812	Q9Y371
P22392	Q9HB71
P04179	P98177
P18146	Q9UJU2
P28482	Q9UQM7
P08754	Q92633
P31350	Q9UM11
P25208	P28906
O96000	Q9P0J0
P62277	P62993
P36873	Q9NY47
Q99871	Q9H6D7
P34897	P63092
Q96T58	Q99459
O94806	Q5SW24
P25116	P59768
P35232	Q13268
P38405	Q96RD0
P27348	Q92934
P13569	P25490
P32881	P38484
P07437	P26641
O00459	Q9NSC5
Q96EP1	Q9UBS5
P49703	Q15041
P23769	Q13547
A6NHL2	Q13509
406890	P01112
P62899	Q92901
P15735	P17612
O14512	Q01344
P05556	P18031
P16104	Q13619
P01033	P30968
O00506	Q9Y6E0
P49662	Q8N1F7
P78330	Q9H8S9
P17542	Q16576
P16220	Q9BTC8
Q13158	Q15628
Q7Z4H7	Q99871
O15264	P60842
P51679	Q8WTQ7
P32456	Q12972
P35916	P61328
Q13233	Q93008
O75376	P35609
P22626	P26599
P62805	Q8TAQ2
P27986	P61224
P28482	Q96MX0
P0C5Z0	Q969S8
P01106	P04626
P09619	Q07889
O43921	P35968
Q99459	Q9UQE7
P12004	P18887
P27824	P78504
Q13748	Q96RT8
P23458	Q969J5
P07900	P12931
Q13547	Q9C0K0
P32302	P47992
O15055	P20393
P42574	Q13077
P27348	Q7KZI7
O75056	P21246
O75150	Q9BU64
P23025	Q13535
P52948	Q96KG9
Q04864	Q15306
Q05086	Q14999
O15379	P0C5Z0
P00519	P01106
P0CG48	Q01201
P51693	P62328
Q676U5	Q9H1Y0
O14939	P06241
P05060	P27448
P32121	Q96R45
Q8WYR1	Q99490
P49336	Q9UHV7
P37231	P51948
P13612	P49023
P00441	P43004
O95777	P62314
Q14957	Q96RT1
P12956	Q8WU20
P52565	Q11206
O00585	P51684
P13797	Q13315
P48454	Q9UJX3
O00232	O00487
P21246	Q9Y6N8
O95257	P28715
O95391	O95816
Q401N2	Q9GZM7
P10144	Q71U36
O94885	P31947
P06241	Q9Y5X2
O14579	Q9UBF2
Q9H3U1	Q9Y5J5
Q14204	Q9BQE3
P48544	P50150
P00519	Q06830
P15018	P32927
P00533	P01308
O95822	P54646
Q96N46	Q9UQ35
Q13191	Q8IZP0
Q13487	Q16533
O15056	P16333
P61247	Q9UL18
Q13315	Q16352
P27361	Q05923
P53779	Q15256
P62879	Q13972
O14727	P34931
P18084	Q9HD67
O43323	P54826
Q14315	Q9H2G2
P63167	Q9UKY1
P51617	Q9H1C4
P16104	Q15572
Q96K37	Q9GZU1
P20073	P62879
Q12888	Q6ZW49
P51681	P61604
P56706	Q9H461
P23229	Q9Y4G6
P52564	Q9BQI3
Q8NBZ0	Q9H981
Q05516	Q9NP79
P48061	P51681
P05198	P49770
P05386	P46776
O15111	O75569
O75817	Q16637
P23511	P30307
P11831	P49792
Q13616	Q7Z6M2
O60674	P32246
Q01094	Q13309
P19438	Q99558
P21580	P31946
O43312	O94762
Q14197	Q96E29
P26038	Q9Y478
A0JLT2	Q9NPJ6
Q8NFH3	Q9NRG9
O15228	P11473
P35637	Q05519
P09874	P10144
P52735	Q13009
O95759	P49755
P51965	Q96BH1
O14733	Q9P286
P43360	Q9Y277
P01889	Q9GZX7
Q06190	Q9NY47
P18146	Q9NZI7
O43156	Q96Q15
P49674	Q9H6R7
P19438	Q13200
P52757	P61586
P68400	Q96EZ8
Q07343	Q16566
P42677	P62241
P23229	Q9Y6N6
O43353	P08107
P05771	Q15139
O43791	Q9Y4K3
P35998	P54727
Q16637	Q96EN9
P15036	P27361
O15335	P18564
P51970	Q16795
P52333	Q14626
P47712	P63261
Q9H1J7	Q9H237
Q08881	Q13283
P07996	P17301
P61981	Q8N9M5
Q15628	Q5VWQ8
P00533	P10275
P42566	Q8WXE9
P50453	Q5UIP0
P20618	P40337
Q9BVA1	Q9Y572
P19174	P62993
P16871	P41159
P29350	P38484
P01236	Q9HBE5
P28749	Q9ULA0
Q8N257	Q9UBL3
Q13616	Q9UBW8
P38159	Q12986
Q13972	Q9NZT1
P04637	Q16363
P01106	Q9NTI5
O95295	Q9UL45
P23396	P62851
P29083	Q7KZF4
P62993	Q16539
P63104	Q9NRQ2
O60341	Q16695
O75363	Q9Y230
P13569	Q14444
Q92793	Q92831
P04183	P54252
P32321	Q6ZVK8
P48444	P53618
P12814	Q9UPT5
O75116	P61587
P31277	Q05516
A8TX70	P16144
P49721	P60900
P29353	Q99650
P25963	P56524
P21741	Q9NRR5
P34932	Q9NX09
O60266	Q9UK08
P18146	P54219
O43257	O95619
P04406	P27540
406957	Q9NRR4
P38398	Q8N2W9
P12931	Q13349
P30793	Q16543
P19793	Q05516
P53007	Q9HCK5
O15198	Q66GS9
O00303	Q13347
P07550	Q13639
Q8TBB1	Q9UI14
Q15366	Q9BRX9
O60232	Q96JP2
Q9GZT6	Q9NX18
P01569	P42701
P16220	Q14687
P60568	Q9UHF4
O00750	P16333
P62807	Q9UBL3
P15735	P62158
O00487	Q96CS7
P01889	P61769
O00206	P19838
P08134	Q8N264
Q5UIP0	Q9NX09
P23508	Q14232
P51532	Q14526
Q15366	Q96PU8
O15530	Q9Y2X7
P01106	Q6STE5
P04637	Q15466
Q04206	Q12933
Q15797	Q9HCE7
Q01844	Q9BPW5
O43524	P08603
P01308	P28482
P46734	Q12852
O95347	P01889
P41231	P50148
Q13363	Q9H171
P35626	Q8NGI4
P15153	Q13017
Q92995	Q9UKN7
P19525	Q9HCE1
P37173	P49716
P49327	Q01844
P18621	Q92901
P32121	Q9Y4A9
P0C1H6	P0C5Y9
P36894	Q15427
Q04724	Q96AE4
P49368	P49642
P29372	P51665
O15524	P40763
Q53EZ4	Q8WUM4
P01242	P52333
O60641	Q00653
A8MTJ3	P16499
P16035	P43487
P10398	P67870
O43768	Q96SI1
Q15714	Q9HAV4
406916	P35226
Q13526	Q8IZ52
