#node1	node2
O43609	P22681
440264	Q14CS0
P33778	Q96QV6
P36897	Q5T6F0
O14746	P01106
P35813	P50750
P17612	P27361
Q92830	Q9BRQ0
Q969W9	Q9NRR5
P18564	Q9HBI0
Q13402	Q9P202
Q9UL03	Q9Y478
P36402	Q9UBE8
P16234	Q9Y4K3
P49321	Q9UET6
P61964	Q99877
P16188	Q8N423
P06401	Q9BT22
P48634	Q07021
Q12851	Q13162
O95760	P55210
P62241	P62258
P10276	Q7Z5J4
P17980	P55036
Q8TBE0	Q92997
O15530	Q9UIA9
Q5JTZ9	Q96KG7
P21283	P62330
P62847	Q00653
O75508	P57739
O95785	Q6R327
P07437	P19838
Q15573	Q53T94
P23945	P84996
Q13573	Q9UKV3
P11274	P36402
Q15834	Q8TAP4
Q96SN8	Q9BZC7
P35226	Q5T3J3
P62993	Q99259
P01857	Q8NEN0
O15519	P04049
P60953	P63000
O75943	P12004
P01242	Q6UXL0
Q15910	Q9NYS7
P51784	Q15831
O14672	Q99075
O75444	P02511
O14715	P55854
P68431	Q15291
Q8IYD8	Q9HB96
P55036	Q8NHQ8
P55268	Q9Y3C0
Q92851	Q9HAV5
Q99700	Q9P1U0
P25101	P32121
P01588	P40238
Q9BXS5	Q9Y6Q5
C9JDP6	O95500
P30304	Q00537
Q04771	Q9H082
P05231	Q13261
P38936	Q12857
O14531	Q16827
O00141	P25942
P63010	Q9NYB0
P01889	P26639
P53779	P63104
Q13237	Q86W47
O75438	O95182
P01137	Q12841
P21246	Q8N2W9
O43324	P62330
P30279	Q08999
P08727	P63104
O14827	O60262
P05771	Q96HC4
P30939	P61952
Q14164	Q15437
P27361	Q53H76
P15502	P98095
O94761	Q8IWV7
Q13485	Q16254
P01111	P08581
Q15155	Q9HAU4
P42704	Q9Y5J5
P62993	Q86SG6
P0CG48	Q9NYJ8
Q9BX70	Q9NPI1
O14920	P07814
P62330	Q13148
P16234	Q9H0M0
P04350	P16871
P48039	P59768
P00533	Q13239
Q09472	Q9Y294
O43921	P00533
P33527	Q16236
Q96CN9	Q9Y2I6
P62807	Q9P0U4
Q15843	Q92889
P51817	P62158
Q9NRL2	Q9UIG0
O76096	P53634
P62136	Q9NZJ5
P18146	Q17RP2
P16333	Q13444
O15350	Q9NZC7
P01106	Q9BTE3
P35520	Q01094
P05412	P18848
Q05086	Q9UM19
O43281	P27986
P06241	Q7Z7K6
P53779	Q86UL8
P07437	P17844
Q06190	Q13698
P54259	Q9BSW2
P60953	Q9P107
Q07869	Q9BT22
Q96I25	Q9P013
P35626	Q8NGJ2
Q96KQ4	Q99459
O14920	P31946
P18146	P21583
P27635	P84098
Q9GZQ8	Q9Y383
Q7Z3C6	Q9UHD2
Q13151	Q15365
O60869	P20226
Q13794	Q92985
O14508	Q14765
P10721	Q9ULV8
P83731	Q07020
A0JLT2	P38646
P17252	P31431
P09651	P14866
Q9NZI8	Q9UHX1
P23458	Q15464
P50151	Q5JWF2
Q8NHW5	Q9Y6K9
P21860	Q9Y6I3
P42771	Q15910
P01242	P52333
Q14511	Q15797
Q8TAU3	Q9BQ66
P15924	Q9UMD9
P07942	Q13625
P48059	Q96KQ7
O00267	Q9Y3C7
P17252	P24588
O60716	P29350
P22888	P29992
Q13936	Q9Y691
P62993	Q9BZM3
P19838	P22301
P52198	Q7Z5H3
Q8IU54	Q9UHF4
O00182	P17931
P04637	P78423
P09471	Q9ULV1
Q13490	Q99683
Q9H1B4	Q9NPJ8
P62750	Q13177
P52888	Q14164
P62993	Q86V48
P05141	P30405
Q8IZP0	Q9Y6W5
Q8TCU6	Q8WYR1
P46092	P51671
P62820	Q9HA65
P35869	Q16531
P60953	Q8NF91
P08240	Q8N2Y8
P00813	P27487
Q13243	Q16659
O60861	P23246
