#node1	node2
P56559	P61421
Q14451	Q9UMN6
P56748	Q96B33
P55210	P80303
O00422	P61981
P12235	P62993
P00519	Q96RL7
P52952	Q9NS56
P01019	P62993
Q03135	Q15843
O75438	O96000
P25774	P55957
O95218	Q02040
P32246	P42830
Q8TD23	Q9Y4K3
P29350	Q15116
P04626	P12931
O15400	O75379
P0CG48	Q15796
Q13315	Q9UGK8
O75914	Q96L33
O15145	Q9UPY6
Q13315	Q9UPN4
O43908	P04439
P84022	Q14511
P38405	Q8NH18
Q9NP81	Q9UET6
Q8TAB5	Q96L14
P28482	Q9Y6W6
Q13362	Q86US8
O00401	O75400
O00222	P04899
O95639	Q9P2I0
P04406	Q16637
P02462	P18564
P54652	Q9NYJ8
O76039	P06241
Q96G97	Q9BZL3
P53041	Q99683
O14576	Q9UJ70
O76071	Q7Z7L1
P32881	Q99650
P54259	Q8WYB5
Q13227	Q86Y13
