#node1	node2
P19174	P35968
P36897	Q5T6F0
O75116	P10916
Q01094	Q15910
P11021	Q01201
P48059	Q96KQ7
P35249	P40938
Q5T4F7	Q9H1J7
O43318	Q9Y478
P01137	P45984
P0CG47	Q9UJ41
O15264	Q9P2K8
O00308	Q93009
Q14197	Q5T9A4
O75914	Q96L33
P30480	P38606
P31152	Q13115
O15145	Q9UPY6
P55157	P62993
Q15848	Q86V24
O95721	Q96LR2
Q13415	Q9UBD5
P08238	Q9H5J8
P62750	Q92901
O00305	Q969Q6
O15264	P27824
P35625	P78536
P40197	P42338
P06241	P16871
O15297	P53778
P35222	Q8IUQ4
O60583	P78527
P56559	P61421
P12235	P62993
O00401	O75400
O60934	Q92793
P13612	P53420
P11142	P61073
Q12805	Q13485
P06401	Q9BT22
O43463	P11802
Q8IXK0	Q99496
O95977	P04899
O60840	Q86W47
Q9NZH5	Q9UJX6
P27986	Q9UM73
O76081	Q15773
P46781	P46782
