#node1	node2
P35626	Q8NGK9
P40189	P40225
P02545	Q96RG2
P52735	P54725
P42345	Q9UBS0
P05783	P19012
Q99963	Q9Y343
P35637	Q05519
Q01201	Q92583
P62805	Q13112
O75197	Q9ULW2
O15169	P49407
O43674	P03901
P10809	Q9Y375
P20290	Q96BK5
P49286	Q9P2W3
O00459	P62879
P52198	Q9BRR9
Q9NTJ3	Q9Y6K9
P08729	Q06124
P29353	Q2TAY7
O43929	Q99741
P53803	Q6P1J9
Q99665	Q9P0W0
Q13315	Q16352
P62158	Q96NX5
P16520	P53779
O95810	Q9H8W4
P32242	Q93062
P16104	Q86WJ1
Q401N2	Q8TAE8
P10720	P51685
Q7L2E3	Q9BQG0
P63167	Q9Y5J5
Q16539	Q9H257
O95816	Q8N163
P35637	Q9UM54
O43741	Q9C0K7
O95777	Q86UX7
Q12972	Q9Y243
P01375	Q15628
P12755	Q96ST3
P45985	Q13233
O43491	P26885
P07307	Q96G23
P04899	Q15759
P49023	P63261
P16871	P47756
P01242	P48357
Q3ZCQ8	Q9Y6K9
P62987	P62993
O14576	Q9NP97
P01106	Q9UJU2
P50395	Q9Y478
P11279	Q8NBK3
P61073	Q04900
P08047	P28370
P23284	P30480
P60568	Q04864
O95819	Q02878
P05771	Q6R327
O15379	Q8IUE6
P40425	P78537
O95967	Q9BQY4
O15111	P31751
O75381	Q9UKY1
Q15759	Q99956
Q13247	Q15427
Q6PEY2	Q96RT8
Q9UJX5	Q9UJX6
P08571	P28698
O15379	P42224
P03372	Q92841
Q92730	Q9P107
O60563	Q03111
P00533	P42566
O14576	P09467
P01857	P49327
O00746	Q14197
P55055	Q92828
O14641	Q96CG3
P01889	P25205
O95467	Q9UP65
Q01718	Q5JWF2
P08069	P42566
P63261	Q07157
P07202	Q01344
O00329	P59768
P62829	P62910
P62837	Q9Y577
P06241	Q8IZD9
O95727	P19838
P13637	P35240
P63096	Q08828
P32969	Q15843
O15524	Q8IU57
P04183	Q5D0E6
O15264	Q9BY84
P01568	Q14626
P01137	P31483
Q03154	Q99614
Q13868	Q92945
P05026	Q8IZ69
P78364	Q9HC52
P27482	Q9H1R3
P21145	Q86XR7
P48736	Q9NSC5
P01106	Q00839
P13164	P42224
Q66LE6	Q92736
P15018	P78552
P11171	Q9GZT3
P35222	Q08117
Q96H20	Q99816
574032	P03372
O14986	Q06187
P63279	Q8WVZ7
P04406	Q07820
P51681	Q9NRJ3
O95067	Q13042
Q05513	Q9H492
P0CG47	P62736
O14745	P43405
Q99570	Q9P2Y5
P13501	Q01201
Q8NHQ1	Q9H9J2
P52198	Q13153
P84022	Q9H0E3
Q13535	Q9HAW4
P48634	P54259
Q13326	Q14315
P19438	Q96B97
P25786	Q9Y4K3
P51681	Q9NPD3
Q12906	Q13573
Q99750	Q9NX55
P13645	P31749
P61586	Q9P107
P00533	Q04695
P17480	Q9UBW7
P27361	Q53H76
P62081	Q9UL18
O15105	Q9NRA8
Q15796	Q8NF50
O00273	Q13535
P36873	P36897
P01242	P26992
Q14197	Q99623
Q02750	Q7Z569
O14950	Q9P2M7
Q14344	Q9NZN5
O14807	Q07890
P37837	Q9Y4K3
Q14197	Q9Y2Q9
Q9NQX3	Q9UN88
P09919	Q01344
Q12841	Q13705
P01375	P26651
P20073	P54252
P01242	P40189
P30450	Q07444
P18085	Q9HCK5
O95299	P17568
P01876	Q8N5T2
P68032	Q07890
P32121	Q8NGK1
P33778	Q9Y6F1
O00237	P62837
P61978	Q15366
O15162	P17509
O95049	O95500
