#node1	node2
P13500	P46094
Q8WUM4	Q9UBN6
Q14CB8	Q9NP66
O60739	P14174
O60508	Q15365
P05230	P68400
O60244	Q9NWA0
P10415	Q01543
P16471	Q8IZI9
O43914	Q9P1W8
O75478	Q01658
Q8N6Y0	Q9BVI4
O43318	Q8N2H9
406955	Q9NQC7
P42704	Q9UBK2
O60566	Q9UJX3
P49768	Q9Y4K3
O94817	Q9H2U1
P14635	Q9UJX4
P08581	P46109
Q5TCY1	Q6IQ55
Q8ND90	Q9NPB6
A3KMH1	Q96KG7
P06400	Q13363
P13725	Q14031
Q9NYV6	Q9Y2S0
P19174	Q9ULH1
P29353	Q14155
P41271	P46379
P01892	Q07444
P60709	Q9Y696
P25786	Q9GZN1
P08238	Q16659
P10275	P20142
O60231	Q13485
P23229	Q16363
P01106	P15291
P33991	Q13416
P53778	Q9Y5S8
P12757	Q15036
P63208	Q9UK22
Q8TAU3	Q9P209
Q13042	Q9UJX5
O95467	P41220
P08069	P63096
P04183	Q96PQ7
P38405	Q8NGV6
P10145	Q16570
O60245	P78527
P17844	Q9NWQ8
O14836	P51617
P08047	P98194
P11802	Q9UJX2
P12931	P98077
P01106	P48643
P21580	P61981
P62070	Q8WZA2
O43677	P03905
P08631	P35222
Q99717	Q9NXD2
O60260	Q9Y6K9
Q92747	Q9UPY6
P23381	Q9UBC3
574442	P28676
O60674	O75159
P24941	Q8NHZ8
P10276	Q99743
406952	Q13873
O96020	Q9UJX5
P13945	P34947
P26717	P30466
Q7L0Q8	Q7Z5H3
P05783	P61981
O00744	Q9Y5W5
O43251	P09234
P51116	Q8TE12
O60674	P03372
Q08289	Q9Y2T4
Q13683	Q9UQP3
P46019	P62136
P08637	P29353
O14920	P38646
O60925	Q15287
P01589	Q9ULV8
P22492	P63104
P20248	P51946
P31947	Q96B36
O14512	P51692
O95140	Q15796
P17947	Q9NNX6
P62241	Q00653
Q13315	Q9Y4P3
P49720	P60900
P24941	P25054
P01106	Q13105
P50991	P63104
P60953	P63000
O15520	P23771
Q07817	Q9HB09
O15397	P46060
Q07011	Q9BUZ4
O15162	P26992
Q01201	Q93008
Q13569	Q9Y6K1
P02768	Q00005
P25054	Q99741
P62837	Q96P09
P19525	Q9H0E2
Q01658	Q9NR33
P43694	P52952
P01889	P24752
P35626	Q8NG76
P01589	P52333
P14866	P67809
P06241	Q9NYQ7
P0C0S5	P25440
O95347	Q86XI2
P01344	P04004
O75937	Q15365
O00757	P61106
P49790	Q9UKX7
P04637	P08183
P05166	Q00005
Q07890	Q7L0Q8
O43809	O60500
O43707	P13612
P05412	P63279
P28290	P62258
O43915	P09619
P14859	P28347
P04406	Q6PD62
Q9H0Y0	Q9H1Y0
P08107	Q96HS1
P23528	P61586
P14416	Q9HAV0
P19838	Q16513
P02008	P25208
P62333	Q13200
Q15796	Q9Y6N5
P15498	P43405
P12110	P16070
P62888	Q15653
P19174	Q7L0Q8
Q06546	Q14005
P40938	Q99459
P01236	P48551
P05771	P50151
P22455	Q9ULV8
Q2NKX8	Q8TDY2
O95257	Q03181
O95139	P03891
P43686	P62333
P61077	Q9UPP5
P30443	Q8N743
P07992	Q8IY92
P09651	Q8IWZ8
P43243	Q13535
O75935	Q99624
Q92843	Q92934
P53779	Q9UBI6
P07355	P60903
O75674	P31943
Q7LC44	Q9GZT8
P48729	Q04917
Q16585	Q92629
P04637	P20023
P04070	P35237
P01023	P04183
P04271	Q15109
P62750	Q9NY93
P61313	Q02543
O60840	Q86W47
Q15102	Q8TBB1
O00311	P33993
O75578	P05556
O15496	P28482
P01562	P19235
P45984	Q07820
Q01201	Q99731
P43405	Q14247
P07814	Q14164
P06400	P10415
P04792	Q15393
P47813	P54253
P17987	P67775
P43360	Q13617
Q09472	Q96JK9
O60341	Q5FWF5
P35527	Q92844
Q9BU76	Q9H190
O95782	P58107
O00626	Q01201
406892	P53350
P01106	Q9NR45
Q02045	Q9BZL4
P02778	P27487
A8MT69	O15287
P62158	Q96HU8
2310	Q96EB6
O43261	Q9Y3C7
P63104	Q9P2H0
P61073	Q99731
P63165	Q9H2X6
P0C0S5	Q9UBU8
P08514	Q13753
O77932	Q14254
P10276	Q96L73
P11488	P16499
P08047	Q92731
P24043	P55268
P56545	Q92530
P0C0S5	Q13619
Q99459	Q9Y4E5
P61088	Q92993
P21673	P68371
P60866	Q99547
Q9UKP3	Q9Y2Z0
P14635	P41002
P63279	Q8IUQ4
O96017	Q16821
O15264	P10398
Q5VVX9	Q86YT6
O60563	Q15545
P37198	P57740
