#node1	node2
P49720	P56537
P01871	P11912
574447	P51617
P03956	P10145
A0JLT2	Q15287
O43187	P10398
P05771	P14598
Q9HCM1	Q9NV70
P20333	P42677
P19174	Q00169
P63208	Q9UKC9
P32121	Q8NH37
O14641	Q86T65
Q03164	Q9H672
P12429	Q92979
P21333	Q13683
O75390	O75400
P53803	Q6P1J9
P19235	Q8WWM7
P38936	Q93063
O00159	Q9GZS1
O95630	Q9H444
P04264	Q15759
P04637	Q9UM07
P12757	P84022
O75396	Q13315
P27361	Q9UP65
P52565	P63000
P41236	Q8IWU2
P46379	Q16637
P00519	Q13444
Q14653	Q99731
O15360	Q9Y5X3
P27482	P51828
P53365	P63000
P62837	Q86UD3
O15111	P42345
O43586	Q9BVP2
P55036	P55209
A6NM45	Q8N7P3
P61019	Q86TI0
P46527	P62258
P00533	Q6S5L8
P39019	P60709
Q13428	Q8IY92
P16619	P46094
P05060	Q86YV5
P60709	Q9H4G0
O15047	Q13315
O43374	Q9HDC9
O60551	P10415
Q93097	Q96HF1
P05412	Q15583
P19447	Q13501
P54259	Q92824
P84022	Q13042
P56704	Q5T4F7
P28074	Q15008
Q02962	Q15475
P01116	Q9NRA0
Q496Y0	Q9Y6D9
O15111	P84243
O95831	P34932
O14493	Q96AP7
O43524	Q08050
P17252	Q15109
Q14134	Q9Y6D9
P29692	Q05639
P46459	P48169
Q04864	Q15306
O94972	Q15398
343477	P21246
P12956	Q8WU20
P01588	Q13261
P16220	Q15797
P51686	Q99616
Q16659	Q99719
P02647	P04180
P17252	P26012
Q99877	Q99878
Q13177	Q15019
O75083	Q15477
P51812	Q16659
P56537	Q8TEY7
Q15370	Q9P2G9
Q96BK5	Q96QV1
P32121	Q8NH09
A8K6C2	Q8IU57
O75419	P33992
P63279	Q99497
Q13619	Q9GZS3
P61927	P62750
P68032	Q07889
P16220	P47712
P19438	P62987
O43175	P01889
O96020	P62877
O60341	Q9H1I8
P31689	Q9NX70
P53778	P63211
O60306	Q9BRX9
A7KAX9	O95166
Q06587	Q8IXK0
P20936	Q8IZ69
P17252	P24588
P16520	Q08828
P54727	P55036
P10275	P43364
P09919	P17947
P27986	Q9NRJ4
P05386	P18077
O75116	P84095
P14625	P31749
Q6STE5	Q9Y3M8
P07910	Q08170
P51946	Q13889
P32121	Q9GZK7
P07237	Q9UHX1
P68104	Q9UL18
Q06710	Q92911
P01889	P18754
P51948	Q9HB71
O43617	Q7Z392
P01571	Q9HC73
O95400	Q00839
P32121	Q8IXE1
P09681	Q12884
P07900	Q16665
Q8N6Y0	Q969F0
P22681	Q9Y4K3
Q13347	Q14164
P63165	Q13426
P18124	Q9UKV8
Q13315	Q4LE39
P05014	P26992
O43676	O95167
P12931	P40189
O43915	P09619
P15172	P19793
P08047	Q13535
P25942	Q96JQ0
Q13155	Q9H410
O75528	Q9BRQ0
P04637	P62877
P16403	P27348
A5D8V6	Q53EZ4
Q01658	Q9NR33
Q03518	Q14164
P04629	P22681
Q71SY5	Q9NWA0
P32121	Q8NG83
P14635	Q99442
Q96EK5	Q9BS34
P50851	Q13315
P12318	P46108
P11021	Q9HCK5
Q16637	Q99683
P08069	P12034
Q15811	Q9Y2W2
P18146	P63218
P29350	P31785
Q96S55	Q9H0E2
P52198	Q96QB1
P42224	P51813
P51685	Q9NRJ3
P36896	P62942
P51692	Q92793
P11940	Q9BPZ3
P22612	P42261
Q01130	Q07021
O15169	Q9NRG4
P04839	P14316
P61313	P62987
P60880	Q86SS6
P05106	P46109
Q86WN2	Q99650
P38398	Q13330
P40429	Q92901
P01106	Q9BWT6
O43708	Q9H2G2
O96019	Q53TQ3
O75365	Q5BJD5
P29992	P49796
O95166	P47870
Q5D1E8	Q9Y297
Q6NUP7	Q9UGN5
Q99459	Q9H3U1
Q15796	Q5XPI4
P28749	Q14457
P55084	Q9H0R8
P51149	P61421
P35637	Q15365
Q9H6R7	Q9Y230
Q96S59	Q9H832
Q04724	Q8N5U6
P32248	P55774
P49815	Q13526
O43427	P67870
P30281	P51692
P35626	Q8NGU2
P61254	P63173
P06727	P41235
P06756	P53708
Q99459	Q9BWF3
P18564	Q9UQP3
P52756	Q13242
P12814	Q99700
P16278	P67870
P53667	P57058
O95433	P62333
O15162	Q9NRY6
O15467	P25024
P35575	P54646
P35222	Q13191
P10244	Q969S3
Q01844	Q96CB9
P07949	Q9ULV8
Q9UJX3	Q9UJX6
P62879	Q9BPY3
Q13387	Q9Y4W6
P01137	P58166
P05556	P12111
P35626	Q8NGD1
P00519	P46108
P84243	Q9Y5B9
Q14247	Q92747
Q05215	Q13469
O60674	P51685
O00231	Q7L5N1
P23760	P56645
O75694	P11171
P55196	Q99578
P63279	Q96GF1
Q13526	Q15796
O14640	Q9UP38
O75970	Q9Y624
Q99877	Q9BY41
P18031	P63165
O75326	P62993
P18084	Q13683
P08670	Q9NS87
P49674	Q9Y2G4
P40424	Q9H9S0
O14599	Q66K74
O75529	Q15714
A6NIT4	P16871
P40227	Q00005
P0C1H6	Q92769
P62993	Q13480
P62841	P63220
O14964	Q9Y4K3
P61586	Q02045
Q8TCT6	Q9UHX1
P22001	Q07812
P16234	Q9Y4K3
P05771	Q07157
Q9BYJ9	Q9Y2Q3
P51817	Q07869
O43583	Q9NX47
P32121	P51686
O94916	P29350
P51787	P62993
P63104	Q9UKX2
O75293	O95067
P23258	P38398
P02766	P47897
P0C1Z6	Q9Y265
P14866	P38159
P55199	Q8IXJ6
P47992	P51679
Q13315	Q13427
O14602	P55884
P99999	Q9Y2Q3
P23511	Q9ULW8
P04085	P09619
Q13177	Q9H1R3
P10275	P84022
P00918	Q9H8Y5
P05107	Q12929
Q93097	Q9H237
O14920	Q9NWZ3
O00231	Q9UKY1
P21802	P46934
O96019	Q8TAQ2
Q92796	Q9NYY3
P02787	Q13315
P31749	Q99570
P10301	P14324
406991	P78504
P48551	Q9NPH9
P17812	P56545
O75581	P78368
P19838	Q66LE6
Q92622	Q9P2Y5
Q01581	Q14164
P02462	Q9HCN6
O60733	P35354
Q13813	Q96MT8
O75154	Q9H0H5
O15524	P24394
O00635	Q5VVX9
P21453	P28221
Q16512	Q9H0R8
Q8NDC0	Q9H553
O14827	P62158
Q17RW2	Q9UKX5
O95622	P63096
P78362	Q8WVK2
P01375	Q9Y297
O15047	Q6UXN9
O00220	Q13158
P68036	Q9ULV8
Q8WZ74	Q9Y3A3
P55010	Q13347
P35712	P56645
Q13315	Q15831
P84103	Q9BUJ2
P54257	P62851
P35626	Q96RD0
Q8TBE0	Q9BQ66
P01241	P17181
P62753	Q9UBS0
P31946	Q13164
O15111	P05771
Q8NEY8	Q92890
O95997	Q9BS18
Q15366	Q99459
Q8WXS5	Q9Y5P8
O00267	Q9P2H0
A6NMX2	Q96F07
Q96PY6	Q9GZX5
P07237	P30101
O43809	Q92845
P43364	Q9BXY8
P08514	P10451
P35968	Q9HCE7
Q12929	Q92738
P06576	Q16637
P13501	P51685
P33176	P48058
P12814	P16144
O75469	P19793
O15520	Q15475
Q13797	Q9Y490
P20336	Q9UI14
P11388	Q13526
P11171	P57088
P52757	P61587
P23229	Q17RW2
P18146	Q9UQN3
P36954	P61218
Q12968	Q15759
Q14240	Q96Q15
O00141	Q13435
A6NI73	O75015
P15498	P29597
P47992	P61073
P32121	Q8NH87
P41220	Q8TAM1
P38398	Q9Y4A5
Q8WXE9	Q9UBC2
P40337	Q15363
P62136	Q8TD86
Q13535	Q6IBW4
P00519	Q96IW2
Q92985	Q9NWZ3
P19174	Q8WX92
P10275	Q00987
O60641	Q96PH1
Q96G23	Q99608
O75417	P53680
O75159	P48357
P68431	Q16531
Q00536	Q15436
O43491	Q07157
Q9UKT4	Q9UM11
O94916	Q9UQM7
P16144	Q8IZC6
O94806	Q9NYF0
P04156	P62993
P13569	P16422
P06702	P15153
P28749	Q92543
O43493	P55157
P13725	Q14031
P19823	P36542
Q05516	Q96HS1
P62306	P62308
P01106	Q13794
Q01974	Q13315
O00141	P48048
P25054	P31350
P46937	Q13535
P09661	Q14164
O15111	Q13451
Q5VWK5	Q8WXH5
O95996	P16035
Q9UET6	Q9Y265
P53621	Q99459
P60953	P62834
P55212	P80303
P38484	Q9NPF7
P60709	Q8TDR0
O60763	Q9Y2Q3
Q15628	Q5VWQ8
407053	P34925
P01876	P0CG04
P12931	Q9UKL4
O60840	Q9Y2T4
P49903	Q9UBN6
P05771	Q9ULK5
P42566	Q15303
O94855	Q00536
Q04726	Q13620
O75674	Q9UK61
O60313	O75365
O43734	Q9Y4K3
P35626	Q9H207
Q06455	Q9P2A4
P06899	Q9H0E3
P98175	Q8IWZ8
100008587	Q9UIF9
P04899	Q8TDS4
P35626	Q15617
P62899	P62913
P05112	P10912
P22694	Q14573
Q13535	Q9NS91
P31785	Q16619
P01112	Q15283
O00459	P42336
O14497	O96019
P32121	Q8NH60
P68371	Q13748
O14933	Q9HCM9
P42224	Q14676
P53779	Q9H257
Q8N302	Q96GM8
Q15788	Q92793
Q8NFH5	Q9NRG9
406982	P40763
P43080	P51841
P50539	Q6XUX3
O43524	P53779
Q16595	Q99798
Q59EK9	Q5VTD9
P63215	Q14832
P41091	Q99613
P11279	Q9BXS5
Q13123	Q96FV9
O95167	P03891
Q16526	Q9Y478
P23141	P58062
P47928	P62993
O14656	Q9UBM7
Q14164	Q14657
O60739	Q9HB71
Q00005	Q9Y698
O75771	Q06609
Q8WXI9	Q92831
P32121	P46092
P43487	Q14164
P26232	P62258
P04156	P32004
407026	P27986
O60840	Q13362
P01106	Q9HC56
Q16637	Q9BUJ2
Q13330	Q15717
O00214	P08648
O43298	Q8TAP4
P63244	Q9Y3Q8
P19438	Q14644
P52333	Q01344
P01275	P16870
P62877	Q13618
406956	P35625
P51572	P63104
P15056	Q13177
406956	Q13315
O00141	O43524
P55160	Q9NYB9
P15248	Q14627
P40763	Q96IK5
Q5TCQ9	Q92823
P10276	Q9NPJ4
P01100	P32519
O43707	P56199
P24723	Q9P212
O75791	P14136
O15265	Q9Y6J9
P23508	Q9Y5B9
Q9C0J8	Q9NP77
P06753	P21796
Q13501	Q9H0R8
P49023	Q06124
P11802	P51693
Q15796	Q9UJU2
O00329	P05026
P40763	P49116
Q13123	Q9HCS7
Q8NFM4	Q9P2W3
P18615	Q15836
P11166	Q13315
Q15554	Q9BSI4
O15160	O76071
P34932	Q15750
P01243	P35998
Q13352	Q8TEY7
Q15172	Q8IZS8
Q06265	Q9NQT5
Q13554	Q9NY47
Q6P2I7	Q9BUV8
P51116	Q5VSY0
Q05519	Q9BUJ2
Q13573	Q92841
Q13642	Q9H3M7
O60663	P51116
P02786	P61769
P52272	P62330
P16871	P51692
P68363	Q3ZCM7
O15255	P00519
P61981	Q9UPU9
P01730	Q9Y297
Q8WW01	Q9H094
Q15257	Q99832
P41221	Q5T4F7
O75312	Q96SN8
Q00987	Q9BQE3
Q13868	Q9NPD3
P46094	Q9UBD3
P78371	Q9H0Y0
O95685	P13807
P08138	P52797
P62269	P62851
P34913	Q9UFN0
O43353	Q15759
P49815	Q15418
Q66LE6	Q8WXS5
P06241	P16150
P07550	Q15910
P12956	Q9NP87
P50213	Q96PM5
O76039	P06241
P35249	Q99459
O95400	Q8IYB3
P52434	Q6PD62
O75528	P61964
Q8NBQ5	Q9HAW0
P09486	Q14790
O94972	Q9BUZ4
P29622	Q12851
Q15628	Q9Y5S8
P51677	P55773
P01574	Q92985
O75694	Q96EE3
P62873	Q9NQ66
Q07889	Q7Z5H3
P24723	P61586
Q5UIP0	Q9H4M7
O00231	Q9UL46
Q9NZI2	Q9NZV8
P06241	Q8IZD9
P01588	Q01113
Q6FHJ7	Q9UP38
P36873	Q6UXN9
P01106	Q9Y5X3
P00403	Q96BK5
Q8IXI2	Q9UPV9
P30825	Q15717
Q16629	Q86V81
Q09472	Q9H4L4
P01106	Q99417
O00483	O95139
P56915	Q9Y261
Q9NPG1	Q9UBV4
Q01844	Q92934
O00562	P06493
P43034	Q9NRI5
O75909	Q16181
Q15287	Q96SB4
P52630	Q00978
P14373	Q05516
P01127	P10721
P35626	Q8NH48
P16333	Q9Y5Y3
Q00526	Q13573
Q07890	Q96N67
Q12906	Q99750
P62913	P62987
O95782	P42566
Q14197	Q96EL2
P22612	P54619
P35626	P58173
O14827	Q8TD86
Q15853	Q9NQA5
O60262	P48549
O15467	P51679
Q08334	Q8IZJ0
Q86YV6	Q8TD86
O15524	Q08881
P29353	Q16659
O95861	Q14164
Q15831	Q9C0K7
O95072	Q14674
P12830	Q15910
O94761	P06746
P04792	Q15714
P35638	Q10586
O00463	P27986
Q9UIG0	Q9UPN9
407008	P62745
P15927	Q12888
Q99459	Q9HCK8
Q07820	Q93008
O00220	P01730
Q9BZL6	Q9NR12
P46782	P63220
A5PKW4	P0CG48
O14559	P06241
O15297	Q15759
P26373	Q02878
Q6R327	Q9Y243
P47898	P63092
P04637	P49888
P23508	P48556
O75400	Q76L83
O75445	Q8WXG9
P19838	P63000
P33981	Q9UHY7
P48551	Q9GZX6
P24522	Q9UJX2
P36954	P62875
P07766	Q9Y2R2
P00505	P11171
P56545	Q01196
P23467	Q13224
Q9BUV8	Q9Y5L0
O60503	P55011
O95166	Q8TD19
O15145	P42768
P35626	Q8NH56
O14964	P20073
P00519	P42684
P01241	Q9UKK9
P61978	Q08170
Q96EE3	Q9UKX7
P50502	Q15796
P08754	Q9UBS5
O43900	Q92997
P30260	Q12834
P68363	Q9H4B7
P46781	Q9Y478
P35372	P62879
Q13769	Q9GZY0
P54132	P54274
P00519	Q9UKY7
P26367	Q99593
P25490	Q9H9F9
O60674	P38484
O75197	Q93097
P05014	P17181
P49863	Q01105
Q9H4B6	Q9UGP4
P01106	Q9HAV4
O75179	P25054
O15067	P23508
P10276	Q16659
P26992	Q13191
P06493	P12004
O15479	P49207
P06748	P30480
Q15365	Q8IX12
P36404	Q9Y2Y0
P33240	Q9UKF6
O75436	Q96QK1
O95999	P20749
Q86UW9	Q9UM47
P41235	P53999
P62987	Q969F2
406894	Q07820
P18621	P62906
Q05397	Q13813
O95467	P47872
P62273	P62979
O00459	P26951
Q99848	Q9UL18
P11802	Q02556
P26006	P50552
O00217	O95168
P0CG48	Q9Y253
P0CG48	Q8IVH8
Q9Y3U8	Q9Y4K3
P05141	P99999
O15392	Q13490
P61586	Q9NZN5
Q13315	Q16539
Q13315	Q9P244
P50150	Q16539
Q13191	Q8IU57
P05997	P08648
P00533	Q96EY1
P00519	Q15303
P56856	Q07157
P07359	P13224
P17544	P25490
Q13153	Q9HCE7
P0CG47	P13569
P10071	Q05516
P08670	Q8N2W9
P18846	P22301
O75330	Q9UHD2
P84022	Q99717
P32121	Q8N0Y3
P10586	Q6S5L8
O15504	Q5SRE5
P46779	P62945
P27986	P31751
P16885	P52735
P34820	Q8TEU8
O75800	Q96BK5
Q14103	Q16629
P62316	Q9HCK5
P63261	Q92558
P12004	Q15054
Q13751	Q13753
P18077	Q9Y3U8
P00533	Q9Y490
P13637	P17612
Q14161	Q7Z628
Q13315	Q8TD55
P14921	Q07889
O75084	Q96HF1
P21731	P27824
P01100	P18848
Q6Y7W6	Q8TF46
Q9NX02	Q9Y2G2
P08238	Q9NSE4
P62714	Q15759
P45984	Q12968
Q8WXK3	Q9NWT6
O15144	P59998
O00141	P12273
Q16082	Q16644
P04637	P11926
O75618	P06493
Q08209	Q13469
O43379	Q9H0R8
P01106	P49903
