#node1	node2
P47869	P60520
Q15424	Q96SB4
P05556	P78324
O43678	O75438
P09769	P42336
Q15831	Q9Y3A3
O15254	P98175
P50502	Q14164
P61073	Q9Y258
Q15008	Q9Y478
P12814	Q15942
P38936	Q12778
O00755	O14904
P52564	Q99683
Q8WXA9	Q92841
P01889	P47914
P13945	P34947
P51828	P59768
P63104	Q9H9J4
P49716	Q70EL3
O95299	Q9Y6M9
Q9BX70	Q9H0C5
Q13535	Q9UER7
Q07912	Q9Y5X1
Q16531	Q9Y4A5
P23229	P26012
P61077	Q96DX4
P63104	Q6ICG6
O43474	P40763
P61587	Q9BRR9
Q8N3U4	Q8WVM7
P12814	Q9UKX5
P10415	Q14643
P14625	Q13573
P05771	P62993
P17066	Q8TDR0
P62873	Q9NRI5
Q96HA1	Q9Y5P4
P84077	Q8NC60
