#node1	node2
P27986	P30260
P07237	Q9UET6
Q15025	Q9Y6K9
P45984	P53778
P62826	Q5TAQ9
O95990	Q9Y2I6
Q93084	Q9P2S5
P78527	Q14562
Q99963	Q9BXR0
P23229	P35609
P01241	P62714
Q7L5N1	Q96SN7
O75526	Q8WXA9
P52630	Q66LE6
P25205	P78527
P50502	P60953
O15496	P29992
O43318	Q9UL54
Q07889	Q8IVF5
O15160	Q9Y2S0
P63215	Q8WYR1
A6NHG9	P38405
P31749	Q13362
P51532	Q86U86
O95813	Q9H1J5
P61513	Q13233
O75937	P09651
Q13573	Q15645
P17252	Q9BVC4
Q06609	Q9Y376
Q13114	Q99558
Q13571	Q96PU5
P12956	Q9NQB0
P22607	P48736
P29965	Q9Y6W8
P32121	Q5TZ20
P22612	P45984
Q9BX67	Q9NSI5
P0CG47	P25789
Q15291	Q99459
P13805	Q9UGU5
O43281	Q8N5H7
P00519	Q99638
P35221	P63104
P41743	Q9HD67
P61313	Q9UQ80
P46108	Q9Y5I3
P63104	Q9HCI7
P33981	Q13573
P05107	P13598
O43320	P29317
O95467	P34969
P14174	Q6XUX3
Q13618	Q9GZQ8
P56537	Q8NE71
A6NIT4	Q01113
O94875	Q9BUZ4
P01889	Q96CX2
P11021	Q99759
Q8TCT6	Q9UHX1
P18146	Q15072
P62306	Q9UK45
O95163	P46379
P04637	P21675
P24941	P35222
P04637	Q13564
P53794	Q8IY92
P53708	Q05397
Q14168	Q99459
P05412	P10826
P07550	P62993
P01106	Q93008
Q5SW24	Q92997
P46937	Q15562
P53618	P61923
P16989	Q7Z4H7
406969	P04637
P01034	P0C0L4
O60637	Q01844
P38398	Q92769
P62070	Q7LDG7
Q13573	Q13616
Q14683	Q8WVM7
P10828	Q71SY5
P05556	P98160
P22557	Q08AD1
P60953	P61224
O75886	O95630
O94806	Q9NYF0
P30480	Q14166
P10275	P35269
P27448	P63104
O14920	P46531
O95817	Q15038
574034	Q9NP95
O00410	Q99459
P23508	P51955
P08246	P55899
O60861	P29558
P01116	Q14644
O60934	Q99708
P10275	Q96ST3
P31946	P49674
Q96ID5	Q9UN74
O00151	O43707
P12757	Q9HAU4
P57740	Q8N1F7
O00159	Q8IY92
P19838	Q9BYH8
O75925	Q96RG2
Q13277	Q15836
P01562	P26951
Q9UHD2	Q9Y265
P57730	Q9Y2G2
Q05516	Q86Y56
P63146	Q8WVC0
P42338	P50570
P06239	P24468
O14543	P40189
P26641	P62316
P08670	Q8N2W9
O00238	P67775
A4FU01	O15198
P27361	Q15633
O75508	O95484
Q92997	Q9HC62
494336	Q12857
P08138	Q9Y5V3
Q16891	Q9Y512
P12757	Q13569
P43686	Q99460
P17081	Q7Z5H3
P50990	Q9H7D0
Q07817	Q8IV08
P01241	P16471
P17612	Q93100
P40337	Q8TBZ2
P52945	Q96RG2
P17980	Q99459
O95967	P30281
O60427	Q9UBM7
P04637	Q9UKY1
P61981	Q09161
P11233	P62158
P17948	P46934
O75955	Q9BX66
P16220	Q86YV9
P61201	Q9GZT8
P18077	P62633
P61952	Q01970
O15265	Q9Y4A5
P84022	Q9NYA4
P00519	Q9BQ89
P00519	Q13619
Q8IY37	Q9NR30
Q03181	Q13547
P62241	P62841
P08670	Q15047
P36578	P50914
O14641	O95817
P30291	Q9HC98
O60885	O95433
A6NM45	P78369
O43318	P34931
O00329	P62834
P19387	Q15560
Q00987	Q9Y2T4
O14807	Q86YV0
P45973	P83916
Q13263	Q9UBN6
Q5QNW6	Q93077
P00813	P27487
P08107	P50502
O15350	Q01094
P00519	P11387
P63092	P63218
Q06265	Q13526
Q12904	Q9Y6D9
P22612	P35498
407010	Q12837
O14965	O95685
P35626	Q8NGE5
P38936	Q9UK53
Q8WV24	Q9BQ66
P43243	Q15365
Q9NPJ8	Q9UBU9
P22694	P54709
Q14919	Q9Y2V7
Q15008	Q9UL46
407040	P38936
P62140	Q6UXN9
P28482	Q9P2G9
Q04759	Q9H0R8
P11229	P16520
