#node1	node2
P62258	P68431
P04406	Q15046
O00148	Q9UKV8
O75446	Q9HCU9
Q9H257	Q9HC29
P03971	Q13253
O00220	P02458
Q99750	Q9NX55
Q70Z53	Q86VF5
P32121	Q8NGD3
P20618	Q13418
P10914	P61769
P61952	Q00975
Q14789	Q9P2H0
P13747	Q96I34
P10144	P55211
Q92731	Q9UBK2
P09038	P35052
Q00005	Q9Y5Z7
P10828	Q15654
O00471	Q07890
P48039	P59768
O75116	P53667
P23229	Q9HBI0
Q9H173	Q9UHI6
P62280	Q96BK5
P56545	Q14919
P01112	P45983
P01574	Q14627
O95831	Q0VDF9
O96019	P25440
P52735	Q8ND90
O60493	P12931
P42336	Q6ZUJ8
P17948	Q9HCE7
P48736	Q9UDV7
P17947	P21359
P05230	P21802
O43290	Q8IY92
P01106	Q96S65
P54253	Q8WW36
P05386	P21673
P08684	Q13895
P01215	P23945
P58107	P60520
Q9H1Y0	Q9UMQ6
P63104	Q0VF96
Q07817	Q9C000
O00238	Q99717
P01106	Q9BVK8
P35354	P56524
P23219	P28482
O94887	P12931
P42336	Q13191
P04406	Q99759
P26992	P42702
P14316	Q6P179
P0CG48	Q92547
O00182	P13612
Q96PM5	Q9Y2X8
A5YKK6	P51679
P01106	Q15046
P56545	Q16656
Q92616	Q9Y5V3
P20339	P51148
P26006	P56199
O43521	O75164
P62316	Q8TBK6
Q16594	Q9Y6J9
P06241	Q8NFP9
P22301	P40189
P05109	Q9H0B6
O75369	Q13233
P30443	Q99706
O60674	P30926
P60953	Q9Y5S2
Q92985	Q9Y4K3
P40337	Q99700
Q9Y230	Q9Y478
P41159	Q9UHF4
P23025	P54727
P18433	Q9P2Y5
Q14103	Q8IWZ8
P02768	Q9Y2E8
Q5T6C5	Q99750
P63000	Q7L576
P40763	P48736
P45985	Q9Y2U5
P35626	Q8NGF3
P61077	Q71U36
P98164	Q9P2M1
O76036	P20963
Q04206	Q9BYH8
Q9BPY3	Q9P2H0
O75448	P48443
O15258	Q99963
Q13191	Q92569
P08069	P28482
P06733	P0DI81
Q9UI95	Q9UJX3
P09544	Q14332
P18146	P60484
P06400	Q9UQK1
P01106	Q29RF7
P11362	Q86Z14
P53778	Q16690
P38936	Q7L590
P04183	Q96J01
Q13315	Q9NVC6
Q07817	Q9HBF4
P60866	Q99684
Q8IYF3	Q9NZ42
P15153	Q7Z6B7
Q13114	Q9UHD2
P20226	Q5SXM2
P62826	P68104
P10275	P14859
P32298	P35372
