#node1	node2
P51681	Q14761
P11831	Q9Y6X2
Q15303	Q96J02
P42771	Q99459
P01100	Q16539
P05129	P61981
O00212	Q96QB1
P25391	Q13683
O75581	Q9H1J5
P63218	Q9UBS5
Q8TC90	Q99750
Q04721	Q12860
P00519	P61981
P12956	Q6ZU52
P68431	Q9UPS6
P78527	Q9HB75
O15496	P27361
O95071	Q15796
P19793	P41235
P24522	Q9UKR5
P52907	Q9Y4K3
Q03113	Q9H228
P62158	Q96PM5
P01871	Q92890
P10275	Q13794
P10586	P35222
O75154	Q15907
Q05397	Q08043
P62269	P62851
P0CG48	Q5MJ70
Q12778	Q86UR1
P09471	Q13698
P56704	Q9NPG1
P08670	Q96GD4
Q8NE01	Q93062
P01133	P08138
P28749	Q14188
P46977	Q86WV6
Q7Z5Q5	Q9Y2S7
P01106	Q14209
P02778	Q00653
Q01469	Q9Y4K3
P54619	Q16526
P28221	P50151
Q86SE5	Q92530
Q8TB72	Q8WY41
P35244	Q9NS91
P04626	P98077
P40855	P56589
O75914	P04049
Q13547	Q8NHZ7
P30480	Q9GZT3
P13569	P25685
P08700	P23458
P62136	Q96QC0
P21452	P29992
P63279	Q13233
P04637	P49841
Q13409	Q96NA2
P52564	Q99759
P36873	Q9BXT2
P56278	Q9Y243
O95977	P08754
O14569	Q6PKC3
P46108	P84022
P04217	Q13616
Q13873	Q6KF10
P29597	Q14765
P15882	Q07889
P42772	Q9GZT6
P32121	Q8NGP3
Q9BRX9	Q9UHR5
O43676	O95182
P28482	P54710
O00255	Q6UXN9
Q9H1Y0	Q9Y3B8
Q14966	Q15834
O43379	Q5UIP0
O00212	Q13017
O75367	Q13535
Q96B02	Q9NS56
Q9NVI7	Q9Y572
Q01201	Q92922
P28222	P59768
P05060	P20073
O15530	Q9Y2X7
P51817	Q06710
O15527	P18887
O14656	Q9P003
O60383	Q9BX70
P00519	Q92558
P62304	Q8WXD5
Q14160	Q6P1M3
Q16584	Q9UPT6
P60842	Q99459
P17693	P43626
407050	Q4LE39
O95704	Q8NEU8
P47897	Q12933
Q14566	Q14683
Q16543	Q9GZS1
P17544	Q8WYK2
2310	P24522
P23258	Q6PEY2
P19012	Q6ZU52
P16104	Q99877
O14788	O95248
O00165	P01583
P19878	Q92793
O60733	P84077
Q8NHZ8	Q9BS18
O75112	P02768
P52757	Q9H4E5
O75817	Q9BUL9
O75376	P25963
Q13127	Q13257
Q13952	Q6AI39
P49790	Q5SRE5
P28799	Q5VTD9
P68400	Q14676
O43318	O95819
P16220	Q99952
O14727	Q9C000
P00519	Q06124
P11171	P68402
P62979	Q9NYJ8
P28702	Q9Y2X0
Q15834	Q9HB75
P62891	Q07021
P41235	Q99435
Q08462	Q8WZA2
P58107	Q15714
Q8N371	Q99447
Q8IUE6	Q99880
Q5D1E8	Q9NZD4
P62140	Q14957
P11215	P61224
P00519	Q05193
Q16851	Q9UHX1
P10412	P12544
P15735	Q16821
Q59EK9	Q5VTD9
Q13368	Q502X0
O00463	Q13546
Q9UGP8	Q9Y2Q3
P27361	P84022
P62263	P62701
P35268	P36578
P11487	Q07890
P17655	Q9H1Y0
P36894	Q8WUH2
P62993	Q9NYK6
P01579	Q5VWK5
P12757	Q9Y5J3
O75955	Q9BX66
O94805	Q68CP9
Q15078	Q15788
Q13315	Q9ULW0
P06241	Q12933
A8K6C2	Q99062
407026	P08123
O00212	Q8N264
P63151	Q04206
P20963	P51692
P28288	P33897
Q01105	Q9NSU2
O00442	O14874
P27986	Q05397
Q9HC29	Q9NPP4
P12757	Q15796
Q92831	Q9H3N8
Q15788	Q8IZD9
P01889	P17858
P30050	P83881
Q9H8Y8	Q9HCM4
P46531	Q86Y01
O00329	P09769
P01106	Q9Y678
P51817	Q92736
Q9BZY9	Q9Y2X8
O43237	Q6PEY2
P19338	Q13464
O43353	P04406
P05305	P46379
Q9H5V7	Q9UKS7
Q9NPG1	Q9Y6F9
Q14164	Q9UHV9
O00168	P05023
Q9GZT6	Q9NX18
P28482	P53816
P35609	Q13797
Q8WVM8	Q9P2Y5
Q9BQS8	Q9H492
P16333	Q9UQ26
O14492	O60674
P51685	Q9H2A7
P42574	Q13077
P0CG48	P61981
Q04637	Q71F23
P56945	Q13813
P63218	Q01970
O60610	Q15109
P28370	Q16576
O96020	Q9UJX4
P01135	P41235
P42768	Q9Y5X1
P62310	Q13435
O75461	P20248
P35626	Q9UKL2
P10415	Q07812
O75888	Q02223
P14621	P49716
Q96P70	Q9UKV8
Q15345	Q9UBF6
Q08945	Q96A08
P62987	Q99942
P41220	Q9Y262
O14950	P61586
P46779	P62913
Q969J5	Q9NPF7
P12277	Q00653
O14508	Q99665
P26373	Q13573
P40429	P62899
Q00532	Q9HCE7
Q9H6I2	Q9UJU2
O43809	Q13595
P35219	Q8TEE9
O75159	P38484
Q8ND25	Q969T4
Q9H9A5	Q9UFF9
P18848	Q9Y297
P35222	Q92499
Q92901	Q9UNX3
P26641	Q8TC92
Q8ND25	Q9Y2X8
Q9UKV5	Q9Y2X8
Q3V6T2	Q9GZM8
P17181	P52630
O75832	P55036
P23508	Q96C36
P63165	Q15697
P02649	P26441
Q14919	Q9HBM6
Q13526	Q96Q89
P15153	P61586
P48023	Q6XZF7
Q13257	Q9Y6D9
O14512	P42701
P43307	Q92611
P01100	P05412
O00305	P30559
Q99798	Q9H1Y0
P08047	Q15545
Q13485	Q7Z3T8
P20151	P30411
P18146	Q9UGC6
O75376	Q86T24
P35354	Q04206
P30154	Q06432
P16144	Q9Y6N6
O95685	P62140
P35626	Q8NGR4
P11142	Q13217
P52952	Q92833
P04156	Q5VU43
Q13535	Q96GG9
P04150	P27797
P14174	Q9UBN6
O14576	Q71U36
Q9NP71	Q9UGI9
P67870	Q9UBF6
P15559	Q8NHM5
P46776	P62899
O95810	Q03135
P78406	Q9BUJ2
Q07699	Q9UQM7
P53779	Q8WXG6
P16615	P20333
P14778	Q9Y4K3
P30460	P61769
Q15796	Q96D21
P28482	Q13444
P04439	P26715
Q05209	Q9H0W7
Q07157	Q15149
A8MTJ3	Q7RTX1
Q13573	Q92797
P08887	P35225
P35579	P63000
P21281	Q9Y6Q1
O95379	Q12974
P01588	P38484
Q96KS0	Q9Y3A3
Q96CV9	Q9UET6
P37231	Q13772
P61224	Q5T3J3
P08962	Q9BXN2
P49286	P50151
O43524	Q9HBY8
Q9H492	Q9NRD5
Q13261	Q9P0W0
P16220	P49913
Q96L34	Q9NPB6
P19367	Q96GD3
Q09161	Q9UBU9
P18146	Q9Y271
P15336	P15407
Q96EV8	Q9P2A4
P17948	Q9NQ66
O75914	P45985
O14686	O15198
P31152	Q01196
P04637	P28482
P19438	P63244
P21796	P56537
P04198	Q14209
Q13541	Q16539
Q06546	Q16881
Q96EV8	Q9BY27
P11021	P14625
P62745	Q6ZUM4
O00505	P18754
Q8N5I2	Q969T4
Q99459	Q9BSJ2
O00555	P62873
P40337	Q9P031
P98171	Q7L0Q8
P51449	Q9BZS1
Q7Z5Y6	Q9H2X0
P01111	P41182
P54646	Q92574
P40855	Q01453
P35222	P68400
Q13535	Q86U70
Q14197	Q5T653
Q96A08	Q9P0U4
Q03135	Q13393
P19793	Q93074
O60674	Q9ULV8
P11487	Q99502
Q07021	Q9BRL6
O60244	Q9ULK4
P04141	Q08334
P11055	P61586
P01106	Q13496
O15151	P61981
Q8TC59	Q9UPY3
O75970	P34982
Q07889	Q9Y5X1
O75626	Q9H334
O00463	Q9UP83
O43257	Q16539
P78527	Q14562
Q92997	Q9ULV1
O43765	P35080
P04637	Q8N9N5
Q6Y7W6	Q9NTZ6
Q00341	Q9H8T0
Q92997	Q9UP38
P02792	Q99547
P23634	Q13237
Q8IYB3	Q99459
O00401	P18206
O15297	Q14683
P38405	Q9H339
O00505	Q9Y466
P0C1H6	Q9BY41
P01106	Q14CX7
O60266	P63218
P51681	Q15013
P43364	Q9UNH6
O75746	Q9BRX2
O14746	Q16665
P46977	Q6SZW1
Q01970	Q9BYG4
P09630	P17535
P05412	Q99966
P12034	P16234
O43290	Q13573
P29353	P62316
P10275	P40189
P54257	P56134
P55060	P63104
Q96EN9	Q9Y6X2
P15976	Q01543
P04085	P17948
P54132	Q13573
P08581	Q15147
O75821	P05198
P06730	Q7L576
P32121	Q8NG84
