#node1	node2
P47813	P54253
A0JLT2	O60244
P01106	Q9H4L7
P13569	P46934
P04637	Q92696
O75800	Q01094
P22392	P53396
P32121	Q8NGT5
P54253	Q15032
Q9BSJ2	Q9NY65
P25815	Q9HB71
Q5QNW6	Q93077
P33991	Q92794
P18754	P27694
P11142	Q92844
Q15542	Q5VWG9
P08047	Q8IWA5
P38405	Q8NH41
P24539	Q99816
O94972	Q8TCX5
P39023	P63173
O43915	P16234
O75444	P02511
Q15714	Q99707
O15131	P78406
P01889	P12532
Q16659	Q9UJ83
P30050	Q13573
P27348	P98177
Q8TCU6	Q9UK08
P51587	Q9NXR7
P38398	Q8WX92
P23258	P53350
O43318	Q9UBE8
P30086	P40337
P18084	P35609
Q96BK5	Q9UNL2
P32121	P62714
P46777	Q9HAU5
P42345	P85299
P17542	Q86U70
P62993	Q9Y697
P18146	P63165
Q13952	Q9NZM4
P62269	Q99558
P12931	Q9BWW9
Q13315	Q96P11
P15336	P19838
P38398	P40763
Q99459	Q9NTJ3
P46108	P49802
Q9HBI1	Q9UKX5
O95639	P27448
P62917	Q9UKV8
Q49AN0	Q9UGI9
P46092	Q99731
P14316	P32455
P62993	Q14118
P62277	Q9UKV8
P43405	Q5TFQ8
O14920	P19838
P46108	Q9ULH0
P22301	Q9HC73
O43306	P62879
P60709	Q9H981
P40429	P46776
P19012	Q96HB5
P09038	P67870
P00519	P18031
P19429	P22612
Q07890	Q9UJM3
P04183	Q00013
P57052	Q15365
Q08334	Q13651
P04156	Q05193
P67870	Q96NZ8
P46937	P63279
P38405	Q9H210
Q86U86	Q8NFD5
Q06330	Q99466
P22455	P49767
O60315	P01106
O95467	Q9UK08
O60733	P17252
O15144	Q92558
P31943	Q9NYJ8
P38398	Q9BX63
O14682	P36897
Q01780	Q9H0D6
P04637	P61978
Q96B02	Q9NZS9
P41235	Q9UK32
P51452	P53778
P68104	Q15078
O75340	P25445
P35916	P52803
P19525	Q01094
Q12830	Q14145
O15553	Q96P20
O00238	P12644
Q12933	Q8TBB1
Q16514	Q86TJ2
406952	P01106
O60306	Q13573
P08709	Q8IY92
O95467	P34998
Q14147	Q9UK32
O43597	P62993
P29460	Q99062
P50616	Q13485
O00220	P01730
P31946	P55916
O75947	Q08AD1
407047	P19838
P09471	P27986
P05976	Q9UIK4
P29459	Q9HC73
P28482	Q9P2W3
P28702	Q92793
P62910	P62987
Q7Z4H7	Q9Y580
P40337	Q6IE81
P18846	P22301
P03923	P56556
P08579	P09661
P31431	Q01955
P40429	P50914
P11940	P61978
O60674	P51677
O00463	Q15628
P16871	Q13007
Q09028	Q7L2E3
P29350	Q9HC73
P62280	Q00653
Q5EB52	Q96MX0
O14879	Q9Y4K3
P05106	P24821
P62993	Q92747
P35222	Q96RT1
O95477	Q96RT1
A6NL26	P35626
Q15223	Q96NY8
P10074	Q92997
P67870	Q9H9F9
Q13546	Q14790
P33991	Q99459
O75369	P13612
P12110	P26010
Q15428	Q15637
P05771	P22612
P19875	Q04206
O14807	P55196
Q24JQ0	Q99750
P32298	P51684
P41182	Q6W2J9
P50402	Q9BZK7
P52198	Q9Y3M8
P01889	Q9NP81
P23588	P55884
P14778	Q12933
P36896	Q96S42
P10415	P63151
O75400	Q6P2Q9
P18146	P62070
Q15047	Q96SN7
O14745	P14060
P30273	Q06547
Q13535	Q5TGY3
O75116	Q96C90
406937	P01106
P19793	Q9NPJ6
P51684	Q9H2A7
P10070	Q13625
P46527	Q15139
O15162	Q9GZM5
P78527	Q10586
Q6P1J9	Q8IX03
P16871	P63261
O94856	P46108
P04053	P12956
O43889	Q16566
P01106	Q13485
P00519	P78524
P31947	Q8N122
P60953	Q5T5U3
O15055	P51608
P61073	Q15149
P52756	Q01081
O43586	P39023
P50150	Q9NQ66
P46109	Q15303
O75509	Q9HBG4
P08631	Q9UI08
O94776	Q9UBB5
P49789	Q01094
P08069	P52803
P05771	P62879
P06213	Q9ULV8
P04637	P19338
Q04206	Q92830
P07900	P40763
P19793	Q2M1K9
P20591	Q9Y210
P46531	Q92542
O15131	P33316
Q96A08	Q9Y5B9
P23458	P42224
P01891	P30101
P25116	P32121
O00237	Q9Y2X8
Q99880	Q9UBN7
Q8NFD5	Q96GM5
Q09472	Q92831
P48594	Q8IY92
Q5QNW6	Q8IUE6
P31273	Q03164
O75251	Q16795
P00533	P10599
P17535	P27361
Q96EQ8	Q9BYX4
P05106	P35442
P57721	Q9UKE5
P82914	Q92552
P20339	P50395
Q15047	Q6NZ67
P25786	Q9BPX1
P62877	Q13618
O95793	O95819
P39023	Q9GZN1
P01241	Q16186
P10643	P13671
P20719	Q15672
P26012	Q9Y6N6
P01589	Q86WN2
O15400	Q9BV40
Q13118	Q9HBL0
P10636	P19174
P01100	P05129
P08908	P28222
P03372	P12931
P22301	Q9H2X3
Q03135	Q12933
P60709	P62805
O76064	Q9NX02
P51828	P63215
Q96FV9	Q9UHR5
O14920	Q02790
P17535	P20226
P60953	Q8NF50
P07900	Q9H7B4
O43318	Q9NV58
P08311	P30740
P21802	Q99962
P21860	P52735
P04637	Q6STE5
P62191	Q9BRP4
P16220	P67870
Q8NF50	Q9H4E5
Q5VWK5	Q86WN2
P26373	Q13418
P08107	P48436
O15525	P08670
P06730	Q03014
P27694	Q96FI4
P20340	Q14203
O75496	P42771
P26599	P55795
406935	P04637
Q15276	Q9NZ52
Q14249	Q16611
Q00534	Q14188
P62847	P62854
Q99442	Q9UGP8
P02647	Q9BQN1
O00212	Q5JSL3
O15524	P26992
P39019	P46781
O75569	Q9NPJ3
Q13315	Q96GM5
Q99558	Q9NWZ3
P62258	Q9UK53
P01375	Q9Y5S8
P42330	Q5T3J3
Q00341	Q9H8T0
P01242	Q8IU57
P30679	P43115
P33552	Q13309
P51817	Q9Y698
P05388	P63173
P12318	P17931
O00182	Q8TDQ0
Q04206	Q07817
P01137	Q16576
P33076	Q14324
P68431	Q8NB78
P36896	Q04771
P09471	P35372
Q9BWU1	Q9NX70
P78504	Q9H3D4
O43707	P68032
P16333	P78357
P16949	Q96BK5
P61586	P63000
O94972	Q01844
P01857	Q9UL42
P18146	P49407
Q15759	Q9NZJ5
P16157	Q5VST9
P29353	Q13233
P07196	P62826
P41235	Q92878
P25025	P32298
406950	P35226
P32121	Q8N983
P01116	P21802
P42766	Q9HCK5
P22694	P41181
P18505	Q9H0R8
P78527	Q13263
P62269	P62854
Q8NEY8	Q92599
P10599	Q96BK5
Q9Y2M5	Q9Y383
Q16531	Q9Y6K9
O14654	P48357
O95433	Q13625
O00141	P43355
Q04206	Q16512
Q96A08	Q99878
O00571	Q13573
O94818	Q16659
Q8N257	Q96KK5
P06454	P52292
P05787	P13987
O00217	O15239
Q12962	Q9UPT9
O75528	P10276
Q13797	Q8IZC6
P84101	Q99750
P62258	Q13111
O14920	P10809
Q13972	Q9UBI6
Q96SN8	Q9Y383
P35354	Q9NP80
P32239	Q96SB3
P13501	Q04864
P62508	Q15466
P10398	P58753
O75385	P60520
P62280	P62847
P05556	P20339
P58876	P63104
P61981	Q86WB0
P31785	Q13261
P62837	Q9BY78
P51948	Q00534
P42772	Q9GZT6
P62805	Q92831
P08047	P49585
O15264	Q00610
P19447	P43351
P16220	Q9C099
P29459	P32927
O15530	Q9Y2S7
P17612	Q9NQ31
O95704	Q9HBG4
Q93008	Q96L34
Q16659	Q96DB2
Q13242	Q8IX12
P01106	Q10570
P10914	Q03001
P05556	P26006
P30443	P43632
O00471	Q6ZT12
P01889	P42704
P10827	P42338
Q13153	Q9HAV0
Q92844	Q9Y4K4
P02778	P51684
P00519	Q13619
P01568	Q01344
Q8TD23	Q9Y4K3
P15559	P25490
P60763	Q9UHY1
P25024	P48061
P32121	P51685
P21246	P24522
Q9ULV1	Q9Y6F9
P16144	Q05655
P12931	Q13017
P38405	Q8NG92
O00220	P25445
O43889	Q9NS37
O43809	Q9UJW3
P47871	P84996
O14686	Q9Y5Z7
P29350	Q07666
O00571	P78545
O00193	P21246
P17931	P25445
P50479	Q93062
P30154	P54284
Q9UQ80	Q9Y4K3
P16234	Q9H4P4
Q9NZW5	Q9Y5X1
Q13573	Q96P70
P04899	P63215
P25788	P28074
P34931	Q04864
P07992	Q99459
P23458	Q99665
P37173	P84022
O15264	P22314
O43318	Q92918
P05771	Q9NRA0
P30084	P30480
P05771	P17612
Q16621	Q96BA8
406935	Q9Y6K1
P42336	P42345
A8MVU1	Q9C026
P57087	P62714
P13861	Q03135
Q5TCY1	Q9H583
O43541	P36897
P52756	Q15287
Q05193	Q8WXK3
O95631	P43146
Q16778	Q969S8
Q00987	Q9P1W9
Q5T5U3	Q9H4E5
P21333	Q9UKX5
P22694	Q09472
P08107	P11021
P27694	Q8IYD8
P23467	P42768
P30304	Q9UPP1
P12270	Q96HA1
P38405	Q8NGI2
Q9H2U1	Q9UKV8
P18146	Q5UIP0
P08138	Q92914
Q8WWW0	Q9UMX0
P40337	Q8TEY7
O15047	Q15291
406988	P15692
P27448	Q15560
Q14181	Q15047
O00585	P25025
P07333	P21583
P11473	P19793
P08138	P49763
O43683	P01106
P29992	P46663
Q6W2J9	Q93009
P01106	P61619
P46777	P62891
P98160	Q9NZL6
Q10570	Q9BZE0
O00716	O14497
O14802	Q9H1D9
P63104	Q00536
P68431	Q9HC52
P28749	Q9BY76
P08581	Q16827
Q53TS8	Q8IYF3
P04066	P52735
P35790	Q96PM5
P02775	P32248
O14513	P16333
P04217	Q13616
O14732	Q15011
P51610	Q01658
P62993	Q96CW1
P11940	Q8IYD1
O95433	P50570
P02778	P32248
Q15319	Q92858
Q08945	Q9UPN9
P15153	P52565
P01106	Q8N4C6
O95997	Q9UJX2
P50452	Q01518
P31644	Q9H0R8
Q9NPH9	Q9UHF4
O43683	Q10567
P24928	P52435
Q7RTS9	Q99798
P08069	Q99963
Q99650	Q9P0W0
P17535	Q16539
P19387	Q9UL03
P04406	P06493
O14654	P45983
P25054	P47755
P32121	Q8NGS3
O75807	P35638
P06241	Q9NYA1
P02776	P41597
O15552	P04899
P51991	Q15428
Q15831	Q8TEW0
O43312	P16220
O15111	P25963
P12956	Q9HBL7
Q13573	Q16514
O00560	P30203
P54257	P78334
P01178	P30559
O60739	Q09028
P35638	P49716
P10124	P10144
P06241	P07900
P83731	Q9UNX3
P21580	Q86VP1
P04745	Q8TAX7
P06748	P19525
P17612	Q9UKL4
P06241	Q13432
P82930	Q9UBC1
O14964	P25054
Q15047	Q9H9J2
O43707	P23229
P12272	P53350
O15084	Q14185
406906	Q96RU8
P84103	Q8IWZ8
P16104	Q9Y265
O95400	Q16629
P06401	P27986
P16333	Q9NZM4
P62826	Q15797
P07900	P12830
O15514	Q9NWA0
O75179	P25054
O95865	Q16637
P04141	Q99062
O14964	O75478
P20333	Q7Z3U7
Q01844	Q99728
P16871	Q9BUF5
P80075	Q9NPB9
Q14512	Q9HCT0
O75398	P38936
P29350	Q99665
Q13751	Q16787
P22392	P61088
P61981	Q9H0H5
Q8TBZ2	Q9BWU1
O43639	O75914
O43795	O76071
Q15047	Q8TDN6
P15514	P33763
P18077	P49207
P02458	Q96JB6
P19838	Q03169
P78344	Q9Y2Q3
Q92769	Q9H7L9
P46527	Q12933
O00505	Q9NRA0
O60343	Q9ULA0
O95905	P63208
Q05513	Q15109
Q96MF7	Q99598
Q13616	Q9UBF6
Q8NFH5	Q8TEM1
P30260	Q9UJX4
P40121	Q13573
P16104	Q15084
O43663	P23025
P04183	P49815
O43741	P42345
P42261	P62136
O94941	P51965
Q76L83	Q9Y4K3
P35626	Q6IEY1
Q53TQ3	Q6PI98
Q13069	Q8NEA9
Q6P2E9	Q99459
Q13568	Q9UHD2
P04626	P51813
Q13501	Q14145
Q9HCE7	Q9NQ69
O00463	P45983
P52735	P60953
P61513	Q5T3J3
P05129	Q9NRA0
P01023	P43629
Q16515	Q9NRD5
P22612	P28482
Q13368	Q15393
P15927	Q14194
P35626	Q8NGS4
P04083	P21462
P05129	Q06710
P00533	P22681
Q99459	Q9Y230
Q12913	Q99569
Q13426	Q9NS56
P29317	P55075
P31751	Q16537
P51532	Q01196
P07951	P23508
Q16816	Q86XI6
Q6ZNA4	Q96LR5
P61313	P62910
Q6SZW1	Q9Y4L1
O60921	Q9UJX2
P04637	P22570
Q15382	Q9BVC4
O95433	Q9UBS5
Q7Z3E2	Q9HAU0
P01241	Q8N6P7
O95405	P36897
P0CG48	Q9Y6R4
Q9UBZ9	Q9UI95
P13598	P20701
P25205	Q08945
P25025	Q8TE73
O00442	P22087
Q5VWK5	Q9GZX6
P41597	Q99616
Q15428	Q92841
P26368	Q99590
P17693	P43629
P45983	Q13465
P03971	Q9H2X0
O60262	Q00975
P68363	Q96AH8
Q13573	Q9UBP9
P02647	Q96EN8
P63092	Q96RI0
P62330	Q08211
O14965	P49450
P51692	Q9NSE2
P09651	P46778
P61088	Q8IUQ4
P17612	Q13698
O00442	P62910
P38484	P41235
O15055	Q9UKB1
P50151	Q9UBY5
Q12906	Q99750
O75674	P00533
P32302	P52333
Q13362	Q9NY47
P01133	P08069
Q03164	Q99496
Q6UB35	Q9HC98
P27348	Q96B36
Q99459	Q9UBP9
P84095	Q13485
P63104	Q86VP3
Q01081	Q13573
P25208	Q09472
P67870	Q6UXH1
406891	P01116
P15976	P27361
P48436	P84022
Q07812	Q9BWQ8
P35225	Q8IU57
Q04206	Q16513
O60716	Q99459
P25098	Q14161
Q02878	Q9Y3U8
O60861	Q15459
P06241	P48736
P62316	Q9Y333
Q9NVP2	Q9UKI8
P62993	Q9Y2H0
P04141	P07910
O14519	O76071
P20333	Q13077
P11171	Q9HB71
O14818	Q5VTR2
Q15645	Q86UW9
P00451	P27797
P02458	P18564
P27707	P48443
406885	Q2Q1W2
P09382	P23467
O75582	P22694
P19235	Q9UBD9
P11532	P78527
P37231	Q01094
P06454	P08107
P48729	Q9UJU2
P05015	Q04206
Q14232	Q9UI10
P24394	P29350
P46734	Q02779
P50150	Q15759
P16035	P18146
P36897	Q9BST9
Q13315	Q6ZNG1
P62993	Q5JNZ3
O15516	P19793
O15162	Q86UW9
O15530	Q12913
O14896	P05549
Q8IZL2	Q92831
Q13315	Q8N302
O75533	Q15393
P48729	Q9BXL7
P14616	P42336
Q02750	Q16539
O75365	Q14558
P38405	Q9H343
O95813	Q9GZT5
O75821	Q14164
P18847	P22607
P29353	Q9UKW4
Q99623	Q9HAU5
Q15628	Q5VWQ8
O75530	P26358
P00491	P01889
P16333	Q15661
P20273	Q13094
O96019	Q13535
P25101	Q14344
Q99717	Q9Y3E7
Q68CP9	Q969G3
Q9P031	Q9P286
P01258	P23634
Q07960	Q96L33
Q06124	Q13191
P06241	P14784
P41732	Q96QD9
Q13362	Q9UPR3
Q8IUQ4	Q9H2X6
P29353	P37173
C9JDP6	P56748
P17252	Q15257
Q07020	Q99558
P62191	Q16401
P19532	Q5ST30
O00459	P16234
P61964	Q9H8E8
P62304	Q9UHI6
P78545	Q9NZC4
P35637	Q13243
Q15714	Q8WWC4
P27361	P43405
Q13315	Q5SW79
P05386	P42766
P52756	Q13242
P31943	P52272
P02775	P42677
P46108	Q13905
P01116	P42771
Q9H0E9	Q9NXR8
O43707	P49023
O15258	P54257
P07996	P53708
P35658	Q9UKX7
P62258	Q13489
P52597	Q9UL18
Q01844	Q96MA1
Q9H6D7	Q9NVX0
P10276	P61956
O00273	Q13315
P55198	Q15744
P53803	P62875
P07384	Q6IAA8
O60602	Q04206
O00305	P36873
Q13813	Q9NPI8
P84077	Q9UJY4
O75586	Q99798
P30154	P53041
P00533	P11487
P29466	Q9ULZ3
O43306	Q9UQM7
P51817	Q06710
P68104	Q9HAV4
Q13145	Q9NPG1
P31947	Q9Y2I8
O00212	O15085
O60266	P22612
O14543	Q15370
Q01201	Q15233
P16871	P67936
Q16665	Q96CS3
Q99759	Q9H3G5
P35626	Q96RA2
P63000	Q5JSL3
P58107	P62316
P22626	P62937
P18146	P25445
P13569	P60468
O00571	Q6WCQ1
Q14738	Q8IZS8
P08172	P61952
P25490	Q8N488
P04083	P47712
P04183	Q14240
P61601	Q9UGN5
O95822	Q9UGI9
O15162	P46109
O15047	Q9UPS6
P00167	P20823
O00410	Q401N2
P09619	Q13952
P26641	Q9HCK5
P13945	Q8WTQ7
Q15080	Q16539
O60262	P08908
P30050	P83881
P49841	Q7Z5J4
P28482	P35568
P46531	Q5VTD9
P35080	Q9BQD7
P61160	Q9P1U1
P62316	Q9H0H5
P30939	P61952
Q96JB5	Q9UGJ1
P08138	P38936
P57678	Q9UKV8
O14939	Q05655
P01106	Q9UK22
O95907	Q9UBS3
P45880	Q9H3N1
Q13443	Q9UI95
P01242	P48357
P10721	Q07889
Q16659	Q7Z7A1
P26717	Q13241
O75460	P49810
Q6PD62	Q9GZS3
P54725	P68104
P09619	Q01970
P49368	Q9H9G7
P28799	Q96AQ9
P09661	P30480
P16104	P23527
P50914	P83731
P13569	Q14257
P14618	Q9UJ70
P29350	P61073
P10275	Q13950
P30291	Q04917
O15055	O15516
P05121	P98164
P46527	Q09472
P35221	P49768
Q13467	Q6P3W7
Q14764	Q99459
P05129	P41220
O14512	P42701
P0C0S5	Q96RL1
O00459	O15524
P10720	P51679
P35462	P61952
P68400	Q53GL0
O60941	O95477
Q14118	Q9Y6N6
P01111	Q9HAU4
P14784	P15018
P42575	Q9Y239
P16870	Q13131
Q08945	Q99877
P17252	P40145
Q00597	Q13813
P17948	P46108
Q16665	Q9HBZ2
P06703	Q02790
P14618	P52789
Q02833	Q9P212
P06756	Q14031
Q5VYV7	Q9BQ83
P51817	Q16816
P62993	Q12866
P25208	P56524
P01100	P10145
P56545	Q99594
