#node1	node2
O95467	P50150
P23458	Q8WXH5
O75832	P58876
P01106	Q9UPT9
O75469	P41235
Q9UNM6	Q9Y5K5
P04843	Q8TCJ2
Q05586	Q13255
O43427	Q86YS7
P10828	P42338
O15354	O60260
P35268	P62987
P25787	Q13177
Q8TD23	Q9Y4K3
P27797	Q96LZ3
O75150	Q09161
O15264	P31948
P12956	Q15118
P51784	Q15831
P01569	Q01113
Q14197	Q9H2W6
P49815	Q9BPZ7
P23458	P51692
407021	Q9Y6K1
O95622	P05771
Q00653	Q13748
P34932	P63104
P14778	P18146
P42338	P60953
O00459	O14654
P06730	Q13177
Q13438	Q9UBV2
P02768	Q9Y383
P22681	P40189
P63000	Q96G28
P51149	Q13488
B1A4H9	Q13651
Q16254	Q9Y297
Q16576	Q9UKG1
O94805	P53350
P25101	P32121
Q8IZ69	Q92569
P56748	Q96B33
Q6UXF1	Q99962
P28702	P37231
P60709	Q9Y281
P25963	P62987
P01589	Q8WYR1
P42766	P62424
