#node1	node2
P19086	Q3MJ16
P35626	Q8IXE1
P07900	Q13573
Q8NHZ8	Q9UJX2
Q01130	Q15365
P35228	P40763
Q9P2K3	Q9Y2I6
P01130	P17948
P51693	Q96GM8
P19174	P20138
P12980	Q8WXW3
P36896	Q7Z3T8
P62993	Q12866
P40692	Q13315
P61962	P61981
Q14164	Q9UHD2
O00175	P41597
O00746	P15531
P62140	Q9UQK1
O75528	Q16594
P08581	Q15147
P40337	Q15836
P20936	P54762
O95163	Q99728
P09038	P35052
407053	P28222
P41594	P48454
O14908	P51571
P61812	Q03167
Q6UX04	Q70Z53
O14602	O75821
P13612	P55268
O43809	Q9Y6H5
P20073	Q9BT40
O14641	O43395
P09496	Q00610
P01375	Q13469
Q71DI3	Q92793
P01229	P28482
P48058	P62140
P61224	Q9UMN6
Q4ZIN3	Q86WV6
P08311	P55210
O00222	P09471
O75800	Q12986
O75376	Q7L2E3
P25686	Q13485
O14775	P63092
P27695	P63279
P06748	Q9UKF6
P38936	Q9NZJ0
Q9UN86	Q9UNL4
Q14D04	Q15714
Q86VP1	Q9HA65
Q4VCS5	Q9GZV5
P30304	P31947
Q12923	Q9HB19
P08107	Q00005
P41235	Q15466
P98177	Q99873
P63096	Q08462
Q14919	Q9NRF9
P0C5Z0	Q96A08
P01106	Q8IY95
O60504	Q6ZU52
P20226	Q92994
Q13387	Q96JG8
O75569	Q9Y6M9
P49790	Q9UIA9
Q99747	Q9BXF6
Q13017	Q92730
P01574	P10912
P32121	Q8NGJ8
P62070	Q92569
O60674	P08700
Q02241	Q9H8V3
P05556	Q6UVK1
P27635	P84098
O15126	Q15811
O95382	P62258
P48443	Q06710
P06730	P29590
P51116	Q7Z7J5
O60503	Q13557
P26367	P67870
O60674	Q15825
P62256	Q9H0F5
Q03164	Q9UNP9
O75340	Q96A23
P04899	P49286
P01024	P05107
Q05397	Q14469
Q08211	Q96BK5
P55084	Q00653
Q13315	Q9Y2X9
Q06124	Q13291
P22694	Q03060
P61313	P61513
P51668	Q86Y13
P27449	Q96G23
P15498	P40189
P47898	P63218
Q13227	Q15466
P07199	Q16637
P62136	Q92934
P48736	Q05513
P78371	Q99459
P23508	Q9HC36
P19174	Q15078
A8K6C2	P24394
Q13315	Q4JDL3
Q8IZL8	Q9NR30
O15479	P67870
P22612	Q14643
Q9NV56	Q9UK53
O43182	P52198
406955	P35625
P62753	P62854
P42677	Q9Y572
P59998	Q9BY76
O60341	O75362
Q08170	Q15287
P19429	Q15172
O14543	Q99650
Q15428	Q9UQ35
Q03060	Q99941
O95259	Q15276
A5PLN9	O43617
Q9H1I8	Q9NTK5
O15116	P08243
O14640	Q6P3W7
P54253	Q53G59
P42684	P46108
O60739	P49903
P17612	P19838
O95486	Q15645
P42345	P54646
Q6IBS0	Q9BY76
P49770	Q13144
P51817	Q02930
P38398	Q9BXW9
P31941	Q9Y4K3
Q13352	Q96P50
Q14789	Q9P2H0
P18827	P28482
P63010	Q06124
P50914	P62910
Q68E01	Q99459
P61266	Q15836
O43150	P27986
P01106	P24752
O00206	P01106
P23511	P35638
P05230	P17948
P78364	Q9BSM1
P25787	Q9BQ83
O75486	Q16514
O15155	P53618
P28482	Q9UN42
O75800	Q8IUQ4
P31751	Q6ZVD8
Q14197	Q9NX20
51639	Q15428
P07332	Q9UIW2
P55795	P63104
Q8IYL3	Q92993
P02511	P04792
P27986	Q9ULV8
O43172	P61978
P08670	Q15714
O43261	Q7L5N1
P10914	P53999
Q13467	Q9ULW2
P63279	Q9UKL3
O15162	Q9H0B3
O15162	Q9NRY6
P68431	Q6ZW49
P02768	P06727
P38919	Q09161
P09619	P18031
406882	P52926
P11171	Q99436
O43298	Q12933
O95714	Q9NRI5
P10828	Q9Y6Q9
P26006	P53355
Q5VST9	Q8WZ42
P02765	P02768
O60684	P00367
Q7Z5K2	Q8IZH2
P45983	Q04206
P25101	Q14344
P25116	Q14344
Q02363	Q08999
P58511	Q9HC24
O60262	P48039
Q16254	Q8NFT6
Q14191	Q9HCU8
Q14627	Q8IZJ0
P35221	Q15910
P08069	P46109
O95989	P51671
Q5JTW2	Q9P0V3
Q14061	Q9BW62
Q8NFH3	Q9NRG9
P08069	Q9GZV9
P23458	Q92783
Q00987	Q15466
Q13616	Q9NS64
P27482	Q15746
O75509	Q6VEQ5
P01588	Q01344
P22612	Q9NP71
P19875	P32302
O14508	P08069
P04637	Q7Z5L9
O43684	Q9UJX2
P05109	Q9Y575
P51970	Q9P0J0
O15350	O60563
P32298	P46092
Q9BST9	Q9HCE7
Q00653	Q03405
P10082	P27487
P25024	P48061
Q16539	Q99683
P16671	P49747
P02768	Q9Y2W1
P85299	Q9BQA1
O60216	Q8N3U4
P17252	P28907
Q8N6Y0	Q9H4K1
O43678	P03891
Q9NPF5	Q9UBU8
Q13418	Q9H2U1
P19338	Q00653
P46777	Q99558
P18847	Q5T3J3
