#node1	node2
P63218	Q00722
Q8N6Y0	Q9P2K6
O95182	Q9BQ52
Q6ZUM4	Q96L33
P62834	Q13094
O14965	P49450
O15514	O94762
P50151	Q9Y272
P11021	Q9NZJ5
Q07889	Q9GZY6
Q01094	Q96B26
P01889	Q9UBT2
P35222	Q9NQB0
P49682	P55773
P22681	P45983
P62158	Q13557
P10415	Q13794
P11487	P17948
P28328	Q9GZS3
P30279	P55273
Q14207	Q14209
Q06432	Q13554
P48436	Q15796
P05387	Q01201
P41182	Q06187
P01100	P10826
P22087	Q92905
Q9HBH0	Q9P107
O00257	P12757
P08621	Q96EY1
P98082	Q14689
P62258	Q9GZV5
Q9UM47	Q9Y219
P06241	P98077
P53618	P61923
P62158	Q9Y283
Q13315	Q86V81
P04899	Q9H228
P31943	Q08170
P57088	Q15714
Q9C0D2	Q9NV70
P83876	Q96DI7
O43353	P45983
P82664	Q9Y5J5
Q70EL1	Q9UQN3
O75886	Q9Y263
Q9NR12	Q9UI14
P31269	P40424
P63104	Q86UR1
P53539	Q13485
P53667	P57058
P35968	P52803
P09661	P62330
O75461	Q9UBK9
Q9Y2X8	Q9Y4K3
P62263	Q04206
P07202	P19235
Q6PI98	Q9Y5K5
P49792	Q13426
P35348	Q14344
P04350	Q9UHD2
Q13315	Q86V20
O96019	Q9NXR8
P62333	Q9Y4K3
Q15303	Q9Y371
P55789	P61201
P01112	P06241
P62879	Q8NFM4
P05015	Q99665
Q92558	Q9Y2A7
O60869	P20226
P19793	P27361
P19875	P32302
P18621	P62945
P61313	P62987
O15117	Q9UI08
P08572	P18564
Q16612	Q9UMN6
Q99836	Q9NPH3
P55060	Q9NRA8
P16471	P63104
P55072	P68543
P61077	Q6UVK1
P16070	Q9NZN5
P04637	Q03518
O96019	Q9H0E9
P62316	Q13191
P48736	Q13077
O95433	Q9HC98
P53041	Q06190
P10721	Q99704
P26678	Q13976
O75478	Q9H0E3
P0CAP2	Q86VK4
O14718	P36897
Q96BI3	Q9Y219
O15156	O75791
Q15287	Q9UKJ3
P0C0S8	Q96DB2
P07550	P62633
P16871	Q9Y281
P34931	Q13233
P15153	Q9NPB6
P10916	Q15746
O60739	P13797
P19838	P27708
P84103	Q13243
P09874	Q9Y6K9
O60296	P78334
P99999	Q9H2V7
O60814	P61964
P01106	P08567
O95361	Q15047
P15336	P16581
P49674	Q12789
P29353	P31785
2310	P84022
P36897	Q13501
O75367	Q96RL1
P30101	Q13586
P13747	P26717
Q75QN2	Q9H832
Q92769	Q93077
P62875	Q9GZS3
P17301	Q14192
P29590	P49792
P62136	Q9ULJ8
P51665	Q5VTR2
Q5T3J3	Q92963
O15169	Q14194
Q04917	Q7KZI7
Q9BYQ3	Q9NYV4
P10145	P35222
P78357	Q13315
P09629	P18146
B5ME96	P31994
Q00341	Q07889
P60709	Q15717
P27482	Q96RR4
P15036	P27361
P62424	Q9UL18
O14640	P01106
Q9NVU0	Q9Y535
P00973	P01106
P00403	Q8IXH7
Q14232	Q9UI10
P05000	P48551
P61077	Q16643
O00418	P17252
O76013	P78545
O60930	Q5VYV7
P05386	P68104
P60763	Q9P2F6
P18146	Q96G03
P38159	Q13242
Q01085	Q14103
Q96FJ2	Q9NSC5
Q01201	Q99558
O14929	Q6NXT2
P26006	Q07889
P53794	Q8IY92
P38405	Q8NGE0
Q5VWK5	Q9NPF7
O95166	O95352
P62258	Q05086
O00499	Q9Y2H0
P11532	Q13425
O14807	P04049
P55211	Q05513
Q05516	Q9UBN7
O75150	Q8N7H5
A6NM45	O14493
P07910	Q92879
P04439	Q99706
Q01094	Q9BW11
O95257	P06493
O43809	Q13595
O75608	P07355
P00519	Q9Y6Q9
O43900	P62993
P04899	P17252
O15131	P55060
O75925	P12980
P55196	P68032
P07951	P45379
Q13237	Q9NQ66
P35626	Q8NGF9
O60232	P01889
P62633	P84090
Q13315	Q9UPP5
P52434	Q9GZS3
O43915	Q02763
P62258	Q8N122
P25788	Q00653
P19387	Q9NVR2
P12111	P16070
O75688	P04083
Q16254	Q92600
P60484	Q07890
P62993	P68431
P68400	Q92997
O14965	P35222
P18084	P22105
Q14674	Q14683
P49736	P55199
Q15796	Q99466
P35626	Q8NGC9
O96000	P03897
P46940	Q9UKW4
P26006	P78509
Q08380	Q99623
P06493	P20248
P05771	P30086
P60866	Q9C0C9
O75925	Q12772
O15551	Q8NI35
P55160	Q92558
Q96DU9	Q9NY30
P23142	P98160
P16220	Q7RTR2
P38405	Q9P1Q5
P15170	Q96CA5
P34932	Q9UBR2
Q14686	Q15291
P18146	P31641
P27986	Q99836
P21796	P63172
P50052	P50148
P01857	Q9H7N4
P62314	Q99684
P23458	P42229
P27708	Q00005
O43889	P62140
Q86XL3	Q96KM6
P25106	Q14526
P05787	Q13895
P30480	P62910
P19838	Q14690
Q12849	Q9UET6
P15692	P35222
O75159	P19235
Q9BQA1	Q9UL18
P08922	P29350
Q8NBJ4	Q9Y6H6
P12757	Q13485
P38405	Q9H346
P06493	P24864
P18754	P55084
P00533	P38646
P30511	P43632
O75159	Q13261
P04626	P62987
P20042	Q13432
P05556	Q01955
O43889	P22612
P01116	P07949
P09429	P52701
Q01130	Q9NRR5
P60520	Q14257
O15145	P61158
P05106	Q9HBI0
P49711	P63165
Q99879	Q9C005
P62070	Q13393
P23381	P40926
Q92731	Q92841
O14986	O75116
P01241	P08887
O14905	Q5T4F7
P05198	P78344
P14324	Q9NQI0
Q6FI13	Q9BY41
P54646	Q9C0K7
P38405	Q8NH09
P48736	Q8TCU6
P13647	Q00005
O15198	Q14134
O14775	Q15147
A5YKK6	Q9HC52
O15069	Q12851
Q08116	Q12852
Q00610	Q99759
O15235	Q14194
P01137	Q9BTC8
P23443	P31751
P51817	Q08828
Q14738	Q15172
Q16665	Q9H6Z9
P10145	P17676
O43463	Q9C0K0
Q15047	Q96RU7
Q13114	Q9Y6Q6
P49768	Q9UQB3
P49841	Q9NR80
P02768	Q07343
P06396	P63261
P60953	Q9UKI2
O60341	Q99250
O95931	Q9HC52
O43633	Q9UN37
P08670	Q8WYH8
Q14738	Q86YF9
P54646	Q86V24
406906	Q86SR1
P15056	Q15759
A6NHL2	Q9Y6G9
Q99717	Q9HCE7
406952	Q14814
P07237	P60520
P55157	Q9P1A6
P16671	P37231
P18084	P29400
P17676	Q9HC16
P22694	P35498
Q16537	Q8IZS8
Q15147	Q8TEW0
P01568	P23458
P62993	P68366
Q13561	Q96G01
O14733	P15153
P52272	Q01130
O75340	Q9H3S7
P13500	P51686
P07437	Q99836
Q15645	Q9BXL6
P11233	P45983
O75369	Q9HAU4
P27986	Q06187
Q99613	Q9NRX3
P16885	Q8TD86
P01023	P61224
P22612	P27815
P07148	P62993
O14641	Q9NWB1
P62266	P63220
O15264	P05412
Q14155	Q14161
O15335	P06756
P35221	Q08043
Q15669	Q5T3J3
P62805	Q969G3
P61224	Q04724
Q00975	Q9UBI6
